name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Weigthed,Custom_loss,xyDisplacement,is_regression,augmentation,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc,Testing_Metric
56,ratioNorm,1,1,0,0,1,16,1,1,16,0.2,1,1,0,0,N,,,,,,,
57,ratioNorm,1,1,0,0,1,16,1,1,32,0.1,0,0,0,0,N,,,,,,,
58,ratioNorm,1,1,0,0,1,16,1,1,32,0.1,0,1,0,0,N,,,,,,,
59,ratioNorm,1,1,0,0,1,16,1,1,32,0.1,1,0,0,0,N,,,,,,,
60,ratioNorm,1,1,0,0,1,16,1,1,32,0.1,1,1,0,0,N,,,,,,,
61,ratioNorm,1,1,0,0,1,16,1,1,32,0.2,0,0,0,0,N,,,,,,,
62,ratioNorm,1,1,0,0,1,16,1,1,32,0.2,0,1,0,0,N,,,,,,,
63,ratioNorm,1,1,0,0,1,16,1,1,32,0.2,1,0,0,0,N,,,,,,,
64,ratioNorm,1,1,0,0,1,16,1,1,32,0.2,1,1,0,0,N,,,,,,,
65,ratioNorm,1,1,0,0,1,16,1,1,64,0.1,0,0,0,0,N,,,,,,,
66,ratioNorm,1,1,0,0,1,16,1,1,64,0.1,0,1,0,0,N,,,,,,,
67,ratioNorm,1,1,0,0,1,16,1,1,64,0.1,1,0,0,0,N,,,,,,,
68,ratioNorm,1,1,0,0,1,16,1,1,64,0.1,1,1,0,0,N,,,,,,,
69,ratioNorm,1,1,0,0,1,16,1,1,64,0.2,0,0,0,0,N,,,,,,,
70,ratioNorm,1,1,0,0,1,16,1,1,64,0.2,0,1,0,0,N,,,,,,,
71,ratioNorm,1,1,0,0,1,16,1,1,64,0.2,1,0,0,0,N,,,,,,,
72,ratioNorm,1,1,0,0,1,16,1,1,64,0.2,1,1,0,0,N,,,,,,,
73,ratioNorm,1,1,0,0,1,16,1,2,16,0.1,0,0,0,0,N,,,,,,,
74,ratioNorm,1,1,0,0,1,16,1,2,16,0.1,0,1,0,0,N,,,,,,,
75,ratioNorm,1,1,0,0,1,16,1,2,16,0.1,1,0,0,0,N,,,,,,,
76,ratioNorm,1,1,0,0,1,16,1,2,16,0.1,1,1,0,0,N,,,,,,,
77,ratioNorm,1,1,0,0,1,16,1,2,16,0.2,0,0,0,0,N,,,,,,,
78,ratioNorm,1,1,0,0,1,16,1,2,16,0.2,0,1,0,0,N,,,,,,,
79,ratioNorm,1,1,0,0,1,16,1,2,16,0.2,1,0,0,0,N,,,,,,,
80,ratioNorm,1,1,0,0,1,16,1,2,16,0.2,1,1,0,0,N,,,,,,,
81,ratioNorm,1,1,0,0,1,16,1,2,32,0.1,0,0,0,0,N,,,,,,,
82,ratioNorm,1,1,0,0,1,16,1,2,32,0.1,0,1,0,0,N,,,,,,,
83,ratioNorm,1,1,0,0,1,16,1,2,32,0.1,1,0,0,0,N,,,,,,,
84,ratioNorm,1,1,0,0,1,16,1,2,32,0.1,1,1,0,0,N,,,,,,,
85,ratioNorm,1,1,0,0,1,16,1,2,32,0.2,0,0,0,0,N,,,,,,,
86,ratioNorm,1,1,0,0,1,16,1,2,32,0.2,0,1,0,0,N,,,,,,,
87,ratioNorm,1,1,0,0,1,16,1,2,32,0.2,1,0,0,0,N,,,,,,,
88,ratioNorm,1,1,0,0,1,16,1,2,32,0.2,1,1,0,0,N,,,,,,,
89,ratioNorm,1,1,0,0,1,16,1,2,64,0.1,0,0,0,0,N,,,,,,,
90,ratioNorm,1,1,0,0,1,16,1,2,64,0.1,0,1,0,0,N,,,,,,,
91,ratioNorm,1,1,0,0,1,16,1,2,64,0.1,1,0,0,0,N,,,,,,,
92,ratioNorm,1,1,0,0,1,16,1,2,64,0.1,1,1,0,0,N,,,,,,,
93,ratioNorm,1,1,0,0,1,16,1,2,64,0.2,0,0,0,0,N,,,,,,,
94,ratioNorm,1,1,0,0,1,16,1,2,64,0.2,0,1,0,0,N,,,,,,,
95,ratioNorm,1,1,0,0,1,16,1,2,64,0.2,1,0,0,0,N,,,,,,,
96,ratioNorm,1,1,0,0,1,16,1,2,64,0.2,1,1,0,0,N,,,,,,,
97,ratioNorm,1,1,0,0,1,32,0,1,16,0.1,0,0,0,0,N,,,,,,,
98,ratioNorm,1,1,0,0,1,32,0,1,16,0.1,0,1,0,0,N,,,,,,,
99,ratioNorm,1,1,0,0,1,32,0,1,16,0.1,1,0,0,0,N,,,,,,,
100,ratioNorm,1,1,0,0,1,32,0,1,16,0.1,1,1,0,0,N,,,,,,,
101,ratioNorm,1,1,0,0,1,32,0,1,16,0.2,0,0,0,0,N,,,,,,,
102,ratioNorm,1,1,0,0,1,32,0,1,16,0.2,0,1,0,0,N,,,,,,,
103,ratioNorm,1,1,0,0,1,32,0,1,16,0.2,1,0,0,0,N,,,,,,,
104,ratioNorm,1,1,0,0,1,32,0,1,16,0.2,1,1,0,0,N,,,,,,,
105,ratioNorm,1,1,0,0,1,32,0,1,32,0.1,0,0,0,0,N,,,,,,,
106,ratioNorm,1,1,0,0,1,32,0,1,32,0.1,0,1,0,0,N,,,,,,,
107,ratioNorm,1,1,0,0,1,32,0,1,32,0.1,1,0,0,0,N,,,,,,,
108,ratioNorm,1,1,0,0,1,32,0,1,32,0.1,1,1,0,0,N,,,,,,,
109,ratioNorm,1,1,0,0,1,32,0,1,32,0.2,0,0,0,0,N,,,,,,,
110,ratioNorm,1,1,0,0,1,32,0,1,32,0.2,0,1,0,0,N,,,,,,,
111,ratioNorm,1,1,0,0,1,32,0,1,32,0.2,1,0,0,0,N,,,,,,,
112,ratioNorm,1,1,0,0,1,32,0,1,32,0.2,1,1,0,0,N,,,,,,,
113,ratioNorm,1,1,0,0,1,32,0,1,64,0.1,0,0,0,0,N,,,,,,,
114,ratioNorm,1,1,0,0,1,32,0,1,64,0.1,0,1,0,0,N,,,,,,,
115,ratioNorm,1,1,0,0,1,32,0,1,64,0.1,1,0,0,0,N,,,,,,,
116,ratioNorm,1,1,0,0,1,32,0,1,64,0.1,1,1,0,0,N,,,,,,,
117,ratioNorm,1,1,0,0,1,32,0,1,64,0.2,0,0,0,0,N,,,,,,,
118,ratioNorm,1,1,0,0,1,32,0,1,64,0.2,0,1,0,0,N,,,,,,,
119,ratioNorm,1,1,0,0,1,32,0,1,64,0.2,1,0,0,0,N,,,,,,,
120,ratioNorm,1,1,0,0,1,32,0,1,64,0.2,1,1,0,0,N,,,,,,,
121,ratioNorm,1,1,0,0,1,32,0,2,16,0.1,0,0,0,0,N,,,,,,,
122,ratioNorm,1,1,0,0,1,32,0,2,16,0.1,0,1,0,0,N,,,,,,,
123,ratioNorm,1,1,0,0,1,32,0,2,16,0.1,1,0,0,0,N,,,,,,,
124,ratioNorm,1,1,0,0,1,32,0,2,16,0.1,1,1,0,0,N,,,,,,,
125,ratioNorm,1,1,0,0,1,32,0,2,16,0.2,0,0,0,0,N,,,,,,,
126,ratioNorm,1,1,0,0,1,32,0,2,16,0.2,0,1,0,0,N,,,,,,,
127,ratioNorm,1,1,0,0,1,32,0,2,16,0.2,1,0,0,0,N,,,,,,,
128,ratioNorm,1,1,0,0,1,32,0,2,16,0.2,1,1,0,0,N,,,,,,,
129,ratioNorm,1,1,0,0,1,32,0,2,32,0.1,0,0,0,0,N,,,,,,,
130,ratioNorm,1,1,0,0,1,32,0,2,32,0.1,0,1,0,0,N,,,,,,,
131,ratioNorm,1,1,0,0,1,32,0,2,32,0.1,1,0,0,0,N,,,,,,,
132,ratioNorm,1,1,0,0,1,32,0,2,32,0.1,1,1,0,0,N,,,,,,,
133,ratioNorm,1,1,0,0,1,32,0,2,32,0.2,0,0,0,0,N,,,,,,,
134,ratioNorm,1,1,0,0,1,32,0,2,32,0.2,0,1,0,0,N,,,,,,,
135,ratioNorm,1,1,0,0,1,32,0,2,32,0.2,1,0,0,0,N,,,,,,,
136,ratioNorm,1,1,0,0,1,32,0,2,32,0.2,1,1,0,0,N,,,,,,,
137,ratioNorm,1,1,0,0,1,32,0,2,64,0.1,0,0,0,0,N,,,,,,,
138,ratioNorm,1,1,0,0,1,32,0,2,64,0.1,0,1,0,0,N,,,,,,,
139,ratioNorm,1,1,0,0,1,32,0,2,64,0.1,1,0,0,0,N,,,,,,,
140,ratioNorm,1,1,0,0,1,32,0,2,64,0.1,1,1,0,0,N,,,,,,,
141,ratioNorm,1,1,0,0,1,32,0,2,64,0.2,0,0,0,0,N,,,,,,,
142,ratioNorm,1,1,0,0,1,32,0,2,64,0.2,0,1,0,0,N,,,,,,,
143,ratioNorm,1,1,0,0,1,32,0,2,64,0.2,1,0,0,0,N,,,,,,,
144,ratioNorm,1,1,0,0,1,32,0,2,64,0.2,1,1,0,0,N,,,,,,,
145,ratioNorm,1,1,0,0,1,32,1,1,16,0.1,0,0,0,0,N,,,,,,,
146,ratioNorm,1,1,0,0,1,32,1,1,16,0.1,0,1,0,0,N,,,,,,,
147,ratioNorm,1,1,0,0,1,32,1,1,16,0.1,1,0,0,0,N,,,,,,,
148,ratioNorm,1,1,0,0,1,32,1,1,16,0.1,1,1,0,0,N,,,,,,,
149,ratioNorm,1,1,0,0,1,32,1,1,16,0.2,0,0,0,0,N,,,,,,,
150,ratioNorm,1,1,0,0,1,32,1,1,16,0.2,0,1,0,0,N,,,,,,,
151,ratioNorm,1,1,0,0,1,32,1,1,16,0.2,1,0,0,0,N,,,,,,,
152,ratioNorm,1,1,0,0,1,32,1,1,16,0.2,1,1,0,0,N,,,,,,,
153,ratioNorm,1,1,0,0,1,32,1,1,32,0.1,0,0,0,0,N,,,,,,,
154,ratioNorm,1,1,0,0,1,32,1,1,32,0.1,0,1,0,0,N,,,,,,,
155,ratioNorm,1,1,0,0,1,32,1,1,32,0.1,1,0,0,0,N,,,,,,,
156,ratioNorm,1,1,0,0,1,32,1,1,32,0.1,1,1,0,0,N,,,,,,,
157,ratioNorm,1,1,0,0,1,32,1,1,32,0.2,0,0,0,0,N,,,,,,,
158,ratioNorm,1,1,0,0,1,32,1,1,32,0.2,0,1,0,0,N,,,,,,,
159,ratioNorm,1,1,0,0,1,32,1,1,32,0.2,1,0,0,0,N,,,,,,,
160,ratioNorm,1,1,0,0,1,32,1,1,32,0.2,1,1,0,0,N,,,,,,,
161,ratioNorm,1,1,0,0,1,32,1,1,64,0.1,0,0,0,0,N,,,,,,,
162,ratioNorm,1,1,0,0,1,32,1,1,64,0.1,0,1,0,0,N,,,,,,,
163,ratioNorm,1,1,0,0,1,32,1,1,64,0.1,1,0,0,0,N,,,,,,,
164,ratioNorm,1,1,0,0,1,32,1,1,64,0.1,1,1,0,0,N,,,,,,,
165,ratioNorm,1,1,0,0,1,32,1,1,64,0.2,0,0,0,0,N,,,,,,,
166,ratioNorm,1,1,0,0,1,32,1,1,64,0.2,0,1,0,0,N,,,,,,,
167,ratioNorm,1,1,0,0,1,32,1,1,64,0.2,1,0,0,0,N,,,,,,,
168,ratioNorm,1,1,0,0,1,32,1,1,64,0.2,1,1,0,0,N,,,,,,,
169,ratioNorm,1,1,0,0,1,32,1,2,16,0.1,0,0,0,0,N,,,,,,,
170,ratioNorm,1,1,0,0,1,32,1,2,16,0.1,0,1,0,0,N,,,,,,,
171,ratioNorm,1,1,0,0,1,32,1,2,16,0.1,1,0,0,0,N,,,,,,,
172,ratioNorm,1,1,0,0,1,32,1,2,16,0.1,1,1,0,0,N,,,,,,,
173,ratioNorm,1,1,0,0,1,32,1,2,16,0.2,0,0,0,0,N,,,,,,,
174,ratioNorm,1,1,0,0,1,32,1,2,16,0.2,0,1,0,0,N,,,,,,,
175,ratioNorm,1,1,0,0,1,32,1,2,16,0.2,1,0,0,0,N,,,,,,,
176,ratioNorm,1,1,0,0,1,32,1,2,16,0.2,1,1,0,0,N,,,,,,,
177,ratioNorm,1,1,0,0,1,32,1,2,32,0.1,0,0,0,0,N,,,,,,,
178,ratioNorm,1,1,0,0,1,32,1,2,32,0.1,0,1,0,0,N,,,,,,,
179,ratioNorm,1,1,0,0,1,32,1,2,32,0.1,1,0,0,0,N,,,,,,,
180,ratioNorm,1,1,0,0,1,32,1,2,32,0.1,1,1,0,0,N,,,,,,,
181,ratioNorm,1,1,0,0,1,32,1,2,32,0.2,0,0,0,0,N,,,,,,,
182,ratioNorm,1,1,0,0,1,32,1,2,32,0.2,0,1,0,0,N,,,,,,,
183,ratioNorm,1,1,0,0,1,32,1,2,32,0.2,1,0,0,0,N,,,,,,,
184,ratioNorm,1,1,0,0,1,32,1,2,32,0.2,1,1,0,0,N,,,,,,,
185,ratioNorm,1,1,0,0,1,32,1,2,64,0.1,0,0,0,0,N,,,,,,,
186,ratioNorm,1,1,0,0,1,32,1,2,64,0.1,0,1,0,0,N,,,,,,,
187,ratioNorm,1,1,0,0,1,32,1,2,64,0.1,1,0,0,0,N,,,,,,,
188,ratioNorm,1,1,0,0,1,32,1,2,64,0.1,1,1,0,0,N,,,,,,,
189,ratioNorm,1,1,0,0,1,32,1,2,64,0.2,0,0,0,0,N,,,,,,,
190,ratioNorm,1,1,0,0,1,32,1,2,64,0.2,0,1,0,0,N,,,,,,,
191,ratioNorm,1,1,0,0,1,32,1,2,64,0.2,1,0,0,0,N,,,,,,,
192,ratioNorm,1,1,0,0,1,32,1,2,64,0.2,1,1,0,0,N,,,,,,,
193,ratioNorm,1,1,0,0,1,64,0,1,16,0.1,0,0,0,0,N,,,,,,,
194,ratioNorm,1,1,0,0,1,64,0,1,16,0.1,0,1,0,0,N,,,,,,,
195,ratioNorm,1,1,0,0,1,64,0,1,16,0.1,1,0,0,0,N,,,,,,,
196,ratioNorm,1,1,0,0,1,64,0,1,16,0.1,1,1,0,0,N,,,,,,,
197,ratioNorm,1,1,0,0,1,64,0,1,16,0.2,0,0,0,0,N,,,,,,,
198,ratioNorm,1,1,0,0,1,64,0,1,16,0.2,0,1,0,0,N,,,,,,,
