name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Custom_loss,xyDisplacement,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc,Testing_Metric
1,ratio,0,0,0,0,2,32,1,2,64,0.2,0,0,0.5315,0.7115,0.3982,0.3806,0.4862,0.4401,1.0389
2,ratioNorm,0,0,0,0,2,32,1,2,64,0.2,0,0,0.5337,0.7011,0.3728,0.4122,0.5771,0.4623,0.9738
3,indiv,0,0,0,0,2,32,1,2,64,0.2,0,0,0.5608,0.7201,0.4751,0.3083,0.6474,0.4673,0.994
7,ratio,0,1,0,0,2,32,1,2,64,0.2,0,0,0.5249,0.7201,0.431,0.2472,0.5317,0.4065,1.0483
8,ratioNorm,0,1,0,0,2,32,1,2,64,0.2,0,0,0.5497,0.7555,0.3782,0.3729,0.5689,0.452,1.0008
9,indiv,0,1,0,0,2,32,1,2,64,0.2,0,0,0.5564,0.7441,0.4605,0.3188,0.5234,0.4448,1.0187
13,ratio,0,0,1,0,2,32,1,2,64,0.2,0,0,0.4557,0.5798,0.4235,0.2935,0.3402,0.3705,1.1457
14,ratioNorm,0,0,1,0,2,32,1,2,64,0.2,0,0,0.4708,0.6086,0.3412,0.3869,0.4656,0.4111,1.1167
15,indiv,0,0,1,0,2,32,1,2,64,0.2,0,0,0.4965,0.6526,0.3948,0.3244,0.4917,0.4118,1.0638
19,ratio,0,1,1,0,2,32,1,2,64,0.2,0,0,0.437,0.5782,0.3579,0.2928,0.3678,0.3559,1.1724
20,ratioNorm,0,1,1,0,2,32,1,2,64,0.2,0,0,0.4756,0.7403,0.2618,0.2268,0.5207,0.3475,1.1162
21,indiv,0,1,1,0,2,32,1,2,64,0.2,0,0,0.5025,0.6691,0.3766,0.3041,0.584,0.4183,1.0533
25,ratio,0,0,0,1,2,32,1,2,64,0.2,0,0,0.517,0.6764,0.4518,0.2893,0.4862,0.4161,1.0561
26,ratioNorm,0,0,0,1,2,32,1,2,64,0.2,0,0,0.5349,0.7346,0.3495,0.3553,0.6322,0.4469,0.9724
27,indiv,0,0,0,1,2,32,1,2,64,0.2,0,0,0.5213,0.7198,0.3362,0.4361,0.438,0.4349,1.0423
31,ratio,0,1,0,1,2,32,1,2,64,0.2,0,0,0.527,0.7004,0.4447,0.2697,0.5496,0.4212,1.0529
32,ratioNorm,0,1,0,1,2,32,1,2,64,0.2,0,0,0.5341,0.797,0.266,0.3371,0.6653,0.4274,0.9992
33,indiv,0,1,0,1,2,32,1,2,64,0.2,0,0,0.5075,0.7267,0.2814,0.4515,0.4132,0.4203,1.0362
37,ratio,0,0,1,1,2,32,1,2,64,0.2,0,0,0.465,0.6225,0.4027,0.2535,0.4008,0.3646,1.1633
38,ratioNorm,0,0,1,1,2,32,1,2,64,0.2,0,0,0.4768,0.6434,0.3936,0.2528,0.4669,0.3769,1.1184
39,indiv,0,0,1,1,2,32,1,2,64,0.2,0,0,0.4695,0.6586,0.2801,0.4235,0.365,0.3923,1.0745
43,ratio,0,1,1,1,2,32,1,2,64,0.2,0,0,0.4513,0.5915,0.3416,0.2669,0.5661,0.3816,1.1524
44,ratioNorm,0,1,1,1,2,32,1,2,64,0.2,0,0,0.4695,0.6754,0.3167,0.2444,0.522,0.3647,1.1257
45,indiv,0,1,1,1,2,32,1,2,64,0.2,0,0,0.4761,0.671,0.3512,0.1826,0.6185,0.3692,1.0812
4,ratio,1,0,0,0,2,32,1,2,64,0.2,0,0,0.562,0.773,0.4165,0.3933,0.4573,0.451,1.157
5,ratioNorm,1,0,0,0,2,32,1,2,64,0.2,0,0,0.5953,0.773,0.4177,0.4937,0.6102,0.5221,1.0323
6,indiv,1,0,0,0,2,32,1,2,64,0.2,0,0,0.5806,0.7698,0.4597,0.4101,0.4931,0.4776,1.0731
10,ratio,1,1,0,0,2,32,1,2,64,0.2,0,0,0.5701,0.7435,0.4152,0.4937,0.4793,0.4923,1.1116
11,ratioNorm,1,1,0,0,2,32,1,2,64,0.2,0,0,0.5891,0.7597,0.4572,0.474,0.5096,0.5047,1.0878
12,indiv,1,1,0,0,2,32,1,2,64,0.2,0,0,0.5875,0.7726,0.4564,0.4354,0.5152,0.4914,1.0816
16,ratio,1,0,1,0,2,32,1,2,64,0.2,0,0,0.5093,0.6624,0.4684,0.3153,0.3595,0.4048,1.2563
17,ratioNorm,1,0,1,0,2,32,1,2,64,0.2,0,0,0.5294,0.6723,0.4539,0.3904,0.4311,0.4458,1.1909
18,indiv,1,0,1,0,2,32,1,2,64,0.2,0,0,0.5391,0.7264,0.451,0.3139,0.4587,0.4252,1.1366
22,ratio,1,1,1,0,2,32,1,2,64,0.2,0,0,0.5198,0.6175,0.4613,0.4171,0.4904,0.4651,1.2207
23,ratioNorm,1,1,1,0,2,32,1,2,64,0.2,0,0,0.5382,0.6479,0.5333,0.3476,0.4518,0.4542,1.1732
24,indiv,1,1,1,0,2,32,1,2,64,0.2,0,0,0.524,0.6906,0.4302,0.3427,0.4656,0.4283,1.1558
28,ratio,1,0,0,1,2,32,1,2,64,0.2,0,0,0.5695,0.7612,0.4738,0.4031,0.3788,0.4553,1.1633
29,ratioNorm,1,0,0,1,2,32,1,2,64,0.2,0,0,0.5876,0.7467,0.4938,0.4544,0.4683,0.4982,1.0345
30,indiv,1,0,0,1,2,32,1,2,64,0.2,0,0,0.5152,0.6802,0.4152,0.3076,0.5358,0.4228,1.0349
34,ratio,1,1,0,1,2,32,1,2,64,0.2,0,0,0.5789,0.7065,0.5549,0.4066,0.4421,0.4882,1.121
35,ratioNorm,1,1,0,1,2,32,1,2,64,0.2,0,0,0.585,0.7657,0.3836,0.5527,0.5303,0.5188,1.0165
36,indiv,1,1,0,1,2,32,1,2,64,0.2,0,0,0.5158,0.6922,0.3849,0.3329,0.5413,0.4261,1.0296
40,ratio,1,0,1,1,2,32,1,2,64,0.2,0,0,0.5056,0.6048,0.4684,0.3778,0.4477,0.4417,1.2752
41,ratioNorm,1,0,1,1,2,32,1,2,64,0.2,0,0,0.52,0.6368,0.5012,0.3223,0.4614,0.4353,1.19
42,indiv,1,0,1,1,2,32,1,2,64,0.2,0,0,0.5148,0.6615,0.5087,0.2584,0.3994,0.402,1.1496
46,ratio,1,1,1,1,2,32,1,2,64,0.2,0,0,0.5381,0.6393,0.4996,0.4347,0.4284,0.4734,1.2287
47,ratioNorm,1,1,1,1,2,32,1,2,64,0.2,0,0,0.5289,0.6552,0.4958,0.3146,0.5096,0.442,1.2028
48,indiv,1,1,1,1,2,32,1,2,64,0.2,0,0,0.5111,0.6995,0.4173,0.309,0.3994,0.3986,1.1218
49,ratio,1,1,0,0,1,16,0,1,64,0.2,0,0,0.5592,0.7188,0.5021,0.2788,0.6047,0.455,1.1196
50,ratioNorm,1,1,0,0,1,16,0,1,64,0.2,0,0,0.5805,0.7346,0.4564,0.401,0.6736,0.5055,1.0195
51,indiv,1,1,0,0,1,16,0,1,64,0.2,0,0,0.562,0.696,0.5083,0.368,0.5372,0.4767,1.0641
52,ratioNorm,1,1,0,1,1,16,0,1,64,0.2,0,0,0.5853,0.7464,0.4547,0.4312,0.6198,0.5075,1.031
53,ratio,1,1,0,0,2,16,0,1,64,0.2,0,0,0.5789,0.7112,0.517,0.3996,0.5606,0.4982,1.1216
54,ratioNorm,1,1,0,0,2,16,0,1,64,0.2,0,0,0.5828,0.7046,0.4564,0.5112,0.6129,0.5344,1.031
55,indiv,1,1,0,0,2,16,0,1,64,0.2,0,0,0.5423,0.7327,0.3732,0.3968,0.5592,0.4558,1.0293
56,ratioNorm,1,1,0,1,2,16,0,1,64,0.2,0,0,0.5774,0.7027,0.5141,0.3855,0.6185,0.5024,1.0338
57,ratio,1,1,0,0,3,16,0,1,64,0.2,0,0,0.5682,0.716,0.4842,0.4017,0.5303,0.4836,1.1118
58,ratioNorm,1,1,0,0,3,16,0,1,64,0.2,0,0,0.5977,0.7267,0.495,0.4607,0.646,0.5346,1.0333
59,indiv,1,1,0,0,3,16,0,1,64,0.2,0,0,0.5686,0.7365,0.4327,0.4368,0.5468,0.4875,1.0481
60,ratioNorm,1,1,0,1,3,16,0,1,64,0.2,0,0,0.5914,0.7619,0.4414,0.4199,0.6832,0.5132,1.0375
61,ratio,1,1,0,0,1,32,0,1,64,0.2,0,0,0.5754,0.7622,0.4555,0.4045,0.4959,0.4738,1.1001
62,ratioNorm,1,1,0,0,1,32,0,1,64,0.2,0,0,0.5885,0.7286,0.5283,0.3722,0.6033,0.5009,1.0427
63,indiv,1,1,0,0,1,32,0,1,64,0.2,0,0,0.5832,0.7163,0.4971,0.4838,0.4848,0.5113,1.0651
64,ratioNorm,1,1,0,1,1,32,0,1,64,0.2,0,0,0.5922,0.7549,0.4825,0.4487,0.5289,0.5055,1.0384
65,ratio,1,1,0,0,2,32,0,1,64,0.2,0,0,0.5789,0.766,0.4347,0.4312,0.5331,0.4861,1.1102
66,ratioNorm,1,1,0,0,2,32,0,1,64,0.2,0,0,0.5876,0.7457,0.4505,0.4038,0.7149,0.5142,1.0121
67,indiv,1,1,0,0,2,32,0,1,64,0.2,0,0,0.5771,0.7239,0.4983,0.4003,0.5468,0.4914,1.0655
68,ratioNorm,1,1,0,1,2,32,0,1,64,0.2,0,0,0.6036,0.7489,0.5129,0.4235,0.6253,0.5232,1.0422
69,ratio,1,1,0,0,3,32,0,1,64,0.2,0,0,0.5809,0.7172,0.5166,0.3694,0.6157,0.4976,1.0752
70,ratioNorm,1,1,0,0,3,32,0,1,64,0.2,0,0,0.5953,0.7242,0.4742,0.4677,0.686,0.539,1.0336
71,indiv,1,1,0,0,3,32,0,1,64,0.2,0,0,0.5952,0.727,0.5274,0.4515,0.5275,0.5171,1.069
72,ratioNorm,1,1,0,1,3,32,0,1,64,0.2,0,0,0.5955,0.7331,0.5125,0.4347,0.5882,0.5186,1.0515
73,ratio,1,1,0,0,1,64,0,1,64,0.2,0,0,0.5738,0.6887,0.5416,0.4431,0.4366,0.4959,1.1037
74,ratioNorm,1,1,0,0,1,64,0,1,64,0.2,0,0,0.5935,0.7229,0.5374,0.3645,0.6653,0.5124,1.0304
75,indiv,1,1,0,0,1,64,0,1,64,0.2,0,0,0.5861,0.7283,0.5461,0.3729,0.5179,0.4894,1.0909
76,ratioNorm,1,1,0,1,1,64,0,1,64,0.2,0,0,0.5875,0.7483,0.4389,0.4621,0.6267,0.5167,1.0491
77,ratio,1,1,0,0,2,64,0,1,64,0.2,0,0,0.5732,0.708,0.4983,0.4354,0.5055,0.4956,1.0895
78,ratioNorm,1,1,0,0,2,64,0,1,64,0.2,0,0,0.5976,0.7704,0.4767,0.4515,0.5331,0.5073,1.0715
79,indiv,1,1,0,0,2,64,0,1,64,0.2,0,0,0.5878,0.7103,0.5274,0.4656,0.4945,0.5144,1.0633
80,ratioNorm,1,1,0,1,2,64,0,1,64,0.2,0,0,0.6016,0.7324,0.5274,0.4242,0.6267,0.5265,1.0224
81,ratio,1,1,0,0,3,64,0,1,64,0.2,0,0,0.578,0.7809,0.4231,0.4424,0.4752,0.477,1.1121
82,ratioNorm,1,1,0,0,3,64,0,1,64,0.2,0,0,0.6032,0.7707,0.48,0.4628,0.5579,0.5178,1.0705
83,indiv,1,1,0,0,3,64,0,1,64,0.2,0,0,0.5589,0.6989,0.5191,0.3329,0.5248,0.4637,1.0584
84,ratioNorm,1,1,0,1,3,64,0,1,64,0.2,0,0,0.6041,0.7787,0.5258,0.3567,0.5895,0.4962,1.0836
