name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Custom_loss,xyDisplacement,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc,Testing_Metric
46,ratio,1,1,1,1,2,32,1,2,64,0.2,0,0,0.5153,0.6508,0.4516,0.28,0.5838,0.4293,3.7132
47,ratioNorm,1,1,1,1,2,32,1,2,64,0.2,0,0,0.5106,0.5991,0.5342,0.2353,0.5638,0.427,3.5373
48,indiv,1,1,1,1,2,32,1,2,64,0.2,0,0,0.47,0.6265,0.4211,0.1264,0.5838,0.3563,3.0885
49,ratio,1,1,0,0,1,16,0,1,64,0.2,0,0,0.5458,0.6548,0.5441,0.3279,0.5293,0.4657,3.1808
50,ratioNorm,1,1,0,0,1,16,0,1,64,0.2,0,0,0.562,0.6847,0.5286,0.3235,0.6024,0.4769,3.2249
51,indiv,1,1,0,0,1,16,0,1,64,0.2,0,0,0.4995,0.5945,0.4851,0.2538,0.5811,0.4227,2.9924
52,ratioNorm,1,1,0,1,1,16,0,1,64,0.2,0,0,0.5574,0.707,0.4994,0.3519,0.5399,0.4692,3.3014
53,ratio,1,1,0,0,2,16,0,1,64,0.2,0,0,0.5424,0.6792,0.446,0.366,0.6051,0.4691,3.2564
54,ratioNorm,1,1,0,0,2,16,0,1,64,0.2,0,0,0.5682,0.6837,0.5789,0.2549,0.625,0.469,3.1377
55,indiv,1,1,0,0,2,16,0,1,64,0.2,0,0,0.506,0.6842,0.3516,0.3497,0.5598,0.4257,2.8992
56,ratioNorm,1,1,0,1,2,16,0,1,64,0.2,0,0,0.5667,0.7268,0.5168,0.2712,0.6144,0.4591,3.2134
57,ratio,1,1,0,0,3,16,0,1,64,0.2,0,0,0.5454,0.6994,0.4602,0.3039,0.6184,0.4533,3.2557
58,ratioNorm,1,1,0,0,3,16,0,1,64,0.2,0,0,0.5627,0.7268,0.5006,0.3148,0.5678,0.4624,3.2467
59,indiv,1,1,0,0,3,16,0,1,64,0.2,0,0,0.5502,0.7045,0.4534,0.3388,0.6104,0.4641,3.1319
60,ratioNorm,1,1,0,1,3,16,0,1,64,0.2,0,0,0.5528,0.7106,0.4714,0.305,0.6157,0.4576,3.1904
61,ratio,1,1,0,0,1,32,0,1,64,0.2,0,0,0.5486,0.7111,0.4534,0.3573,0.5598,0.462,3.2544
62,ratioNorm,1,1,0,0,1,32,0,1,64,0.2,0,0,0.5656,0.7258,0.4708,0.3181,0.6503,0.4711,3.282
63,indiv,1,1,0,0,1,32,0,1,64,0.2,0,0,0.5073,0.6351,0.4826,0.2865,0.4947,0.4218,3.0471
64,ratioNorm,1,1,0,1,1,32,0,1,64,0.2,0,0,0.5711,0.7415,0.5062,0.3224,0.5665,0.4683,3.3417
65,ratio,1,1,0,0,2,32,0,1,64,0.2,0,0,0.561,0.7263,0.4876,0.3312,0.5652,0.4644,3.2411
66,ratioNorm,1,1,0,0,2,32,0,1,64,0.2,0,0,0.5648,0.6832,0.5447,0.3453,0.5652,0.4829,3.1459
67,indiv,1,1,0,0,2,32,0,1,64,0.2,0,0,0.5662,0.7233,0.4801,0.3431,0.6104,0.4757,3.1319
68,ratioNorm,1,1,0,1,2,32,0,1,64,0.2,0,0,0.5675,0.738,0.4783,0.3529,0.5731,0.4731,3.254
69,ratio,1,1,0,0,3,32,0,1,64,0.2,0,0,0.5604,0.7076,0.5211,0.2723,0.6104,0.4581,3.1981
70,ratioNorm,1,1,0,0,3,32,0,1,64,0.2,0,0,0.5599,0.6655,0.5429,0.3322,0.5971,0.4817,3.1212
71,indiv,1,1,0,0,3,32,0,1,64,0.2,0,0,0.5519,0.7481,0.4311,0.3508,0.5412,0.4527,3.1258
72,ratioNorm,1,1,0,1,3,32,0,1,64,0.2,0,0,0.5574,0.6853,0.5342,0.3333,0.5452,0.4711,3.1035
73,ratio,1,1,0,0,1,64,0,1,64,0.2,0,0,0.5564,0.741,0.4857,0.3105,0.5239,0.4488,3.3342
74,ratioNorm,1,1,0,0,1,64,0,1,64,0.2,0,0,0.5604,0.6888,0.5155,0.2974,0.641,0.4707,3.1912
75,indiv,1,1,0,0,1,64,0,1,64,0.2,0,0,0.5523,0.7172,0.472,0.342,0.5479,0.4597,3.0634
76,ratioNorm,1,1,0,1,1,64,0,1,64,0.2,0,0,0.569,0.6893,0.6012,0.2832,0.5332,0.4692,3.1946
