"N4",-14.8,-12.9
"Q4",-11.4,-10.9
"T4",-9.5,-9.5
"Q4H7",-8.8,-8.9
"M9",-12,-11.7
"L6F",-8.5,-8
"C9",-7.8,-8.04
"OT3_N4",-10.7,-10.6
"OT3_Q4",-11.4,-11.4
-6,-14.8,-12.9
-8,-14.8,-12.9
-10,-14.8,-12.9
-12,-14.8,-12.9
