,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3
0,amber-sweep-1,run_e60fd6f022d84c6cf9962606129d16c1,0.5483088493347168,1.2860497766432675,3.9675285792052266,1.9045230574857868,1.2860497766432666,3.9218018508437678,1.8163613392293136
1,laced-sweep-2,run_0b16d1a43bb6b76f0e0c28b29c27bf2b,0.6530950665473938,0.7268155711550734,2.765841045182363,1.2930511686670882,0.5629865985960425,2.6066684812193803,0.5717624763108027
2,stellar-sweep-3,run_11f6039c62cc56d6428c14315941a4ed,0.7619655132293701,0.4640970006381621,2.6092270005443665,1.2500189513581808,0.36954690491384967,2.367637452367991,0.8975489576753014
3,chocolate-sweep-4,run_c050d64aafd79b1eff334698dbb6f9fb,0.5828972458839417,0.826981493299298,2.4265378334240615,1.0587113076437147,0.6731078493937452,2.2271910724006543,0.35233101705622377
4,zany-sweep-5,run_4f146e84fcfac2961475c91343748dbe,0.5512444376945496,0.8578430121250799,2.417229178007622,1.163878711307644,0.6563369495851951,2.2323625476320106,0.42353758686039117
5,crimson-sweep-6,run_cca096b6565b7a04bae03d8879a10ca9,0.5797064304351807,0.8688194001276325,2.0228361458900386,1.2870120025268479,0.5948181238034455,1.7112411540555257,0.2869867340492741
6,olive-sweep-7,run_d8be429c4131de1a2ee3f80e5d3a7f3d,0.6650925278663635,0.6917932354818124,2.5879967338051184,1.2349336702463678,0.4958519463943848,2.4271910724006553,0.49406190777005754
7,legendary-sweep-8,run_ebae88ebca00f61c789f5616705f04c0,0.5846841335296631,0.8609827696234845,2.7624115405552545,1.3086165508528114,0.7131844288449262,2.6575666848121964,0.44314592545799086
8,crisp-sweep-9,run_42f8958827aa9b85d096c49cee0f19e6,0.5590299963951111,0.8364518187619656,2.245209580838324,1.1798483891345548,0.6108487555839186,2.033777898747959,0.33588123815540094
9,frosty-sweep-10,run_875d89658f52b4b7ce59da9d103de04c,0.5520102381706238,0.962297383535418,2.478361458900382,1.3859633607075175,0.5906828334396936,2.323761567773545,0.32294377763739696
