,name,model_unique_name,acc_OTI,distance_P14,distance_OT3,synthetic_EC50_P14,synthetic_EC50_OT3
0,amber-sweep-1,run_e60fd6f022d84c6cf9962606129d16c1,0.5483088493347168,2.927109808678604,1.4037186402517228,3.9218018508437678,1.8163613392293136
1,laced-sweep-2,run_0b16d1a43bb6b76f0e0c28b29c27bf2b,0.6530950665473938,2.8991159255660386,1.4455137791888382,2.6066684812193803,0.5717624763108027
2,stellar-sweep-3,run_11f6039c62cc56d6428c14315941a4ed,0.7619655132293701,2.71727341449796,1.491278400816724,2.367637452367991,0.8975489576753014
3,chocolate-sweep-4,run_c050d64aafd79b1eff334698dbb6f9fb,0.5828972458839417,2.4921773882830416,1.2620417206145136,2.2271910724006543,0.35233101705622377
4,zany-sweep-5,run_4f146e84fcfac2961475c91343748dbe,0.5512444376945496,2.5213219768790633,1.3129868837959302,2.2323625476320106,0.42353758686039117
5,crimson-sweep-6,run_cca096b6565b7a04bae03d8879a10ca9,0.5797064304351807,2.172722988075153,1.4324084927839864,1.7112411540555257,0.2869867340492741
6,olive-sweep-7,run_d8be429c4131de1a2ee3f80e5d3a7f3d,0.6650925278663635,2.705948399641902,1.4257428524097069,2.4271910724006553,0.49406190777005754
7,legendary-sweep-8,run_ebae88ebca00f61c789f5616705f04c0,0.5846841335296631,2.9211520315893207,1.431420388254124,2.6575666848121964,0.44314592545799086
8,crisp-sweep-9,run_42f8958827aa9b85d096c49cee0f19e6,0.5590299963951111,2.3745357570340784,1.3263231172746328,2.033777898747959,0.33588123815540094
9,frosty-sweep-10,run_875d89658f52b4b7ce59da9d103de04c,0.5520102381706238,2.6358421972009456,1.5139947685186304,2.323761567773545,0.32294377763739696
10,wild-sweep-11,run_c7ad5f68881890dab0c4d9b8b42ba23f,0.58379065990448,2.741043887771459,1.3021122217340948,2.5485302123026665,0.3244851547694261
11,deft-sweep-12,run_4b20bdce25688642e1d7fbc135b4794e,0.6005105376243591,2.6425820421645536,1.373156085903117,2.3326891671203067,0.38677195198989406
12,lyric-sweep-13,run_45acb30a6c93c60fe9f9334f6ddd51f5,0.4911295473575592,2.8575625319274622,1.5382309402566314,2.624904735982583,0.4350600126342394
13,fluent-sweep-14,run_7db5900b56456b32274bbacef32ae1e8,0.5895341634750366,2.201859487111326,1.4190639063027894,1.7239793140990751,0.2846873025900193
14,frosty-sweep-15,run_66ab9d9966a5ebe2779e6efd5a4e5394,0.5409061908721924,2.474260628356564,1.596645013449876,2.1366086009798595,0.31584333543904003
15,crisp-sweep-16,run_88f853839785a2b7f3e8ee12db7aab01,0.5888959765434265,2.6233292821295713,1.412205657781865,2.373353293413173,0.34396715097915304
16,fine-sweep-17,run_44d2242235c0a8213636800da03c224f,0.43178045749664307,4.2422667482804455,1.6250316896092647,4.04047359825803,1.9017687934301963
17,silvery-sweep-18,run_8e44eff42072ed93b79bb89f3857cd67,0.590427577495575,2.3008405673268766,1.4687274947324476,1.8658954817637465,0.3240555906506642
18,scarlet-sweep-19,run_fe1dfe97e722605c49b68b166a379d97,0.7466496229171753,2.581843861292849,1.4879221475355908,2.180212302667394,0.749955780164246
19,fanciful-sweep-20,run_4a77155bc8d0ad4375e322ef58ca562c,0.4846203029155731,2.182063067377668,1.6078603565145586,1.6204953728905829,0.4207075173720791
20,swept-sweep-21,run_9bc9096eb268fbb326ad9768d30c23a8,0.6361199617385864,2.789329952405974,1.4424798345958725,2.4765106151333707,0.41646241313960836
21,jolly-sweep-22,run_4d0ea673376750259549676f765bf1b7,0.4319081008434296,4.2422667482804455,1.6250365955095576,4.04047359825803,1.9015161086544539
22,glorious-sweep-23,run_056ad3d4e3a2364368636488879fe88d,0.5997447371482849,2.47298892090571,1.4084098623075432,2.116467065868265,0.36074542008843985
23,prime-sweep-24,run_072a5733c13b3a3be71316485b1db3fa,0.593490719795227,2.6362245391827863,1.4096456801310595,2.295182362547633,0.40415666456096017
24,winter-sweep-25,run_ba1328680ac1e610c32f3d7a2ff7bf4c,0.5119336247444153,2.5969414873030776,1.5794730351952049,2.1826075122482314,0.29322804801010743
25,sweepy-sweep-26,run_ea65777b8490d807e552f6553d694663,0.5308232307434082,2.242904537333845,1.5572134150378325,1.7501088731627659,0.24314592545799105
26,jumping-sweep-27,run_8d26ba4228150233ba90e77134aedf98,0.5774090886116028,2.4614972859573663,1.5209035115435832,2.0156505171475234,0.34439671509791575
27,upbeat-sweep-28,run_28d0983c8fac69c8e1a17e49bd7343aa,0.5560944676399231,2.8207568337017617,1.3639199352521263,2.638513881328254,0.36355022109917773
28,fast-sweep-29,run_9ce4dc2704079a502fbf63f30b31a22d,0.5996171236038208,2.3940428011916026,1.4660603167509956,1.936390854654329,0.3580669614655723
29,glowing-sweep-30,run_52e4f3356b881561cb0a99153c29c553,0.5959157347679138,2.2973548052255715,1.4309959226262463,1.8969787697332612,0.31773847125710736
30,fragrant-sweep-31,run_47306595b1e6fee071ae5e2a7b9bed0e,0.6209317445755005,2.3825101690588357,1.4960267292533898,1.9860914534567242,0.3155148452305746
31,sweet-sweep-32,run_b338167c84eaa6501384ce06e541aaec,0.6311423182487488,2.7938899777791706,1.4038798551114018,2.537697332607513,0.4300568540745419
32,spring-sweep-33,run_2d095052e0994a9ffe749128a650b206,0.5839183330535889,2.8342823073933237,1.327376895990069,2.631654872074034,0.34813644977890196
33,restful-sweep-34,run_cf162d2676b28d71f49473e34366180d,0.5880025625228882,2.8070644146679316,1.415781692446598,2.5151061513336965,0.39695514845230634
34,worldly-sweep-35,run_9a5abadf9e96beb5eb9143e82e7f3a9e,0.6035736799240112,2.4350400824834826,1.4575100006144284,2.0138541099618954,0.32547062539482047
35,super-sweep-36,run_f578a732da841e8ae7c7c6c84b422aed,0.5698787569999695,2.82320743098586,1.3587813278145262,2.5934948285247708,0.36145293746051793
