,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,pearson_corr_OTI,pearson_corr_P14,pearson_corr_OT3,pearson_corr_conc,pearson_corr_SL
0,pious-sweep-1,run_60d5f51817e261163d8d052e5c77946c,0.48142948746681213,1.5891257179323546,4.115215024496463,1.8294630448515472,1.6484449639190975,1.7710555467637283,0.9628589661774084,3.99714207947741,0.8132533164876808,1.6484449639190957,1.1580471593606585,0.5037172961623614,0.4624030132945693,0.3610444401877215,0.5628647936684359,0.44342372124252505,0.5089417830729237,0.42837132262313987,0.059588051212138116,,0.4346696398936749
1,fresh-sweep-2,run_a667d71fd2a2a96417724a091d125c28,0.5982131361961365,1.2876834716017866,4.526565051714752,2.3256980416929878,1.0397347291391401,1.774465896502611,0.9306700701978303,4.43641807294502,1.8277700568540745,1.0397347291391403,1.2790314923247348,0.5666907594506232,0.4216971693036095,0.38226031989273057,0.6135302729639841,0.4070785257731367,0.5682335637218756,0.32445838700586627,0.010313812743730555,,0.4089366939075427
2,dazzling-sweep-3,run_9d180089e1a3baab33b711191992f8df,0.6419910788536072,1.1411997447351627,4.788758845944475,2.0833354390397973,1.0265677406240472,1.968258426966292,0.8393235481812381,4.70988023952096,1.6049778900821219,1.026567740624047,1.5639064725431242,0.6113717473466546,0.4498603333006175,0.4633818599750982,0.5127550164121967,0.42550727683421186,0.6049392789759485,0.3311035676304228,-0.10446351210026077,,0.3192564139878883
3,swift-sweep-4,run_f8835f0e2fcf8d352145819525e06734,0.5622208118438721,1.37576260370134,3.645209580838323,1.9008591282375231,1.3865738388047564,1.5400458933375534,0.8905552010210597,3.4967610234077307,1.180353758686039,1.3865738388047575,1.0869362240860885,0.5637636088752112,0.47365529850149635,0.3470671710883376,0.5494951500643473,0.45337166163859227,0.5575698181115156,0.46755206637177565,0.12008006083954231,,0.5301767627925229
4,worthy-sweep-5,run_b11ad40a83f1a82b9b4158b2387bc848,0.5751116871833801,1.3793490746649648,3.952585737615678,2.339115603284902,1.1781786766947862,1.75104446906156,0.9249266113592857,3.798747958628199,1.6505748578648132,1.1781786766947855,1.091034973888273,0.569164072461766,0.46739198973781493,0.3827494173610446,0.5943277750035736,0.41456348095032947,0.5502848259554722,0.3922027931148712,0.05725748485163307,,0.446542559996412
5,azure-sweep-6,run_7cec8bf5eaa771982962551f35d05cfb,0.561837911605835,1.3834077855775366,3.967583015786609,2.1277068856601384,1.1285394857200937,1.530341034973888,0.9887172941927247,3.8676374523679913,1.5152621604548329,1.1285394857200945,0.9884673207786043,0.5545895131305411,0.4626423814789082,0.3512358330938926,0.5909836139978957,0.4463804083020297,0.5519760925842598,0.4572063615994807,0.11465703116920392,,0.5215104598664155
6,copper-sweep-7,run_687a6b092685d6bae6605a9e5ca38bce,0.5440970063209534,1.4392342054881937,4.295672291780077,2.361920404295641,1.0285394857200933,1.5555625890172493,1.0875047862156977,4.22022318998367,1.8501073910296908,1.0285394857200947,1.0918895394840953,0.5279858537180334,0.4530118407556887,0.3945072311081314,0.651516672902914,0.45255054902214,0.5325392958174691,0.42149307422344245,0.08996287835587444,,0.5065719489248981
7,deft-sweep-9,run_f5fef8fad19bcaf5c7f6c0b11b190b2a,0.5945118069648743,1.298557753669432,4.080457267283615,2.200075805432722,1.2467628824067487,1.7019979427124543,0.866419910657306,3.9702231899836686,1.5537334175615904,1.2467628824067483,1.0886334863111242,0.5990330629354955,0.4205269186123606,0.35782875203524567,0.5833012382070006,0.41679344687849273,0.5752069856876211,0.39412751744169694,0.024186752580691473,,0.45810173140845273
8,happy-sweep-10,run_fb039f7440d1f98beeee75a29c304343,0.6177409291267395,1.2351244416081681,4.698421339139902,2.08822488945041,1.0059965443642644,1.7647729071055545,0.8758136566687932,4.621502449646162,1.4918635502210986,1.0059965443642642,1.475075170121856,0.6100979149820536,0.506800196412441,0.37209111515499793,0.6577287557721647,0.49594662400115036,0.5894776755148972,0.39998092270393437,0.03907887328551282,,0.41464888185782134
9,crimson-sweep-12,run_41ea6c13d67f7414fef5170c0677de76,0.5521378517150879,1.4362220804084236,4.822890582471421,2.522804801010738,0.8665870515296269,1.559570343408767,1.2106190172303768,4.777817093086554,2.240593809222993,0.866587051529627,1.2651724956480452,0.5356649896909563,0.4761114710765706,0.45227261118028284,0.687899738532574,0.5203256610903304,0.5213010705322462,0.38066360586338854,0.09565057716172773,,0.4881822530155794
10,fluent-sweep-13,run_108e0561fefc3e6a531d31f15797f2a4,0.5818762183189392,1.3488321633694957,4.238405008165489,2.151914087176247,1.2672832604939523,1.718875613229941,0.9844671346522016,4.129640718562873,1.5700694883133275,1.2672832604939528,1.2000118689666095,0.5670824372664283,0.42697125800411334,0.3476389554001852,0.5550241131958528,0.41651631935896244,0.5445483463440269,0.3521415354459659,0.038915126641324155,,0.4303304942186447
11,fallen-sweep-14,run_27f191a08b1586229d0256f29eb9d284,0.7023612260818481,0.946100829610721,4.859580838323354,2.434769425142135,0.7045431446285191,1.9196668776705168,0.7453095086151886,4.791480675013609,2.1502084649399875,0.7045431446285196,1.4972266181357805,0.6796659513686025,0.43080618927876574,0.5736883440283498,0.5563234857254528,0.4012582410313273,0.6744887509259193,0.2561308220585335,-0.21646772824705657,,0.32773950725488765
12,dainty-sweep-15,run_7c4061aecc99bc279a895866df17db82,0.5508615374565125,1.419004467134652,4.460696788241699,1.7808717624763104,1.5661906697835142,1.9114733343883523,0.9439055520102102,4.36271094175286,1.0665192672141515,1.566190669783515,1.4034340876720999,0.5146417904650868,0.4829403696920589,0.3793257350828465,0.49147515088823057,0.41969837570094504,0.5285865639479024,0.38329427556319695,-0.004724832266555429,,0.3495874891942809
13,blooming-sweep-16,run_d80c0f6eea35ee843896ffc69c57a4fe,0.5674537420272827,1.3537204850031905,4.483995645073491,1.9751737207833222,1.2105142799064945,1.8262541541383128,1.0116400765794518,4.382580293957541,1.3529627289955768,1.2105142799064934,1.5008783035290398,0.5140860350598995,0.4099599816576848,0.4166248443635667,0.5543922170838874,0.46244851799261916,0.5359718760152172,0.33293583598456933,0.012656670059936787,,0.37146309318392834
14,ancient-sweep-17,run_fe6eeb29ebea6e8c49456810d9b9d7e4,0.5395022630691528,1.5359540523292912,5.073353293413174,2.320631711939355,0.9585984348002845,1.9203513214116152,1.161940012763242,5.034158954817637,1.7509412507896391,0.9585984348002851,1.6448963443582831,0.5146552012505639,0.5036881132884345,0.3683416339431089,0.6805878460410901,0.5155184155293229,0.48528657246715157,0.38299194579968154,0.032152100066682954,,0.3709460905706032
15,bright-sweep-18,run_5f69e1557fa6c506fe0723be06229c46,0.6040842533111572,1.3239566049776639,5.136254763200871,2.206923562855337,0.8637971338550665,1.9294983383446742,1.075149968091896,5.101959716929777,1.7551358180669616,0.8637971338550664,1.7159281531887955,0.542768242703547,0.5163943768835632,0.4143305238961785,0.6704945651050827,0.5162230307499734,0.5400909561203027,0.3746155516436687,-0.009968004012030102,,0.35235092925633776
16,solar-sweep-19,run_a808b19b0ecf392125e5f27a4b4f98af,0.5372048616409302,1.4754818123803444,5.23320631464344,2.350751737207833,0.7653064335806484,1.794101123595505,1.2319591576260376,5.204300489929232,1.9129879974731525,0.7653064335806478,1.6258941288178506,0.48785183222069484,0.5259808479975406,0.38745602273090063,0.7521833235617721,0.5443032799266146,0.5087307899218505,0.39762185283419715,0.04433056658579235,,0.4281955377854055
17,magic-sweep-21,run_71d1292e7fb7c2c24cdab303a5d885ca,0.752265453338623,0.8074154435226546,5.067256396298312,2.5177890082122545,0.6551478808822034,2.071716252571609,0.6495851946394389,4.999156232988568,2.2096904611497146,0.6551478808822034,1.7549572717202078,0.7168662180217446,0.49616920395557,0.6471350126105417,0.5442858583959659,0.457275794247162,0.7161393265685467,0.2964736316053936,-0.35438100920091353,,0.27515751311201436
