,name,model_unique_name,acc_OTI,distance_P14,distance_OT3,synthetic_EC50_P14,synthetic_EC50_OT3,composite_score_distance,composite_score_syntheticEC50
0,amber-sweep-1,run_e60fd6f022d84c6cf9962606129d16c1,0.32205899556477857,0.9271098086786038,0.3457288008390757,,,1.1994436237574235,
1,laced-sweep-2,run_0b16d1a43bb6b76f0e0c28b29c27bf2b,,0.8991159255660386,0.48504593062946033,0.7377789874795869,0.4647030953885033,,
2,stellar-sweep-3,run_11f6039c62cc56d6428c14315941a4ed,,0.71727341449796,0.6375946693890795,0.5784249682453272,0.8719361970941266,,
3,chocolate-sweep-4,run_c050d64aafd79b1eff334698dbb6f9fb,0.5526483058929442,0.4921773882830416,,0.4847940482671029,0.19041377132027962,,0.6865902793981798
4,zany-sweep-5,run_4f146e84fcfac2961475c91343748dbe,0.34162958463033033,0.5213219768790638,0.04328961265310052,0.4882416984213404,0.27942198357548886,0.840893690055278,0.8659724041888675
5,crimson-sweep-6,run_cca096b6565b7a04bae03d8879a10ca9,0.5313762029012044,0.17272298807515307,0.4413616426132878,0.1408274360370171,0.10873341756159262,0.6665145110102272,0.5012619934152968
6,olive-sweep-7,run_d8be429c4131de1a2ee3f80e5d3a7f3d,,0.705948399641902,0.4191428413656894,0.6181273816004372,0.36757738471257184,,
7,legendary-sweep-8,run_ebae88ebca00f61c789f5616705f04c0,0.5645608901977538,0.9211520315893207,0.4380679608470801,0.771711123208131,0.30393240682248845,1.1090679969989325,0.9367604730908741
8,crisp-sweep-9,run_42f8958827aa9b85d096c49cee0f19e6,0.3935333093007405,0.3745357570340784,0.08774372424877588,0.3558519324986393,0.1698515476942511,0.7181767480013863,0.7233823284023877
9,frosty-sweep-10,run_875d89658f52b4b7ce59da9d103de04c,0.3467349211374918,0.6358421972009456,0.7133158950621009,0.5491743785156965,0.1536797220467461,1.1575275932567703,0.8671592807827785
10,wild-sweep-11,run_c7ad5f68881890dab0c4d9b8b42ba23f,0.5586043993631998,0.7410438877714589,0.007040739113649181,0.699020141535111,0.15560644346178257,0.862569238885915,0.8412327857258733
11,deft-sweep-12,run_4b20bdce25688642e1d7fbc135b4794e,0.6700702508290608,0.6425820421645536,0.24385361967705685,0.5551261114135378,0.23346493998736748,0.7623843572175191,0.6866764282865836
12,lyric-sweep-13,run_45acb30a6c93c60fe9f9334f6ddd51f5,,0.8575625319274622,0.7941031341887712,0.7499364906550552,0.2938250157927992,,
13,fluent-sweep-14,run_7db5900b56456b32274bbacef32ae1e8,0.5968944231669108,0.20185948711132617,0.3968796876759646,0.14931954273271675,0.1058591282375241,0.6006287081888081,0.44271501775640476
14,frosty-sweep-15,run_66ab9d9966a5ebe2779e6efd5a4e5394,0.27270793914794916,0.4742606283565638,0.9888167114995863,0.424405733986573,0.14480416929879994,1.315916172986882,0.8544250793752606
15,crisp-sweep-16,run_88f853839785a2b7f3e8ee12db7aab01,0.5926398436228434,0.6233292821295717,0.3740188592728828,0.5822355289421154,0.1799589387239412,0.8332897443600139,0.7330250526365204
16,fine-sweep-17,run_44d2242235c0a8213636800da03c224f,,,,,,,
17,silvery-sweep-18,run_8e44eff42072ed93b79bb89f3857cd67,0.6028505166371663,0.3008405673268766,0.5624249824414916,0.24393032117583088,0.15506948831333023,0.7513684981147631,0.491198798787281
18,scarlet-sweep-19,run_fe1dfe97e722605c49b68b166a379d97,,0.5818438612928492,0.6264071584519691,0.45347486844492924,0.6874447252053075,,
19,fanciful-sweep-20,run_4a77155bc8d0ad4375e322ef58ca562c,,0.1820630673776682,,0.08033024859372191,0.27588439671509885,,
20,swept-sweep-21,run_9bc9096eb268fbb326ad9768d30c23a8,0.9074664115905761,0.789329952405974,0.4749327819862414,0.6510070767555804,0.27057801642451035,0.9258322667494002,0.711045105420179
21,jolly-sweep-22,run_4d0ea673376750259549676f765bf1b7,,,,,,,
22,glorious-sweep-23,run_056ad3d4e3a2364368636488879fe88d,0.6649649143218993,0.4729889209057099,0.3613662076918104,0.4109780439121768,0.20093177511054972,0.6830465313552516,0.5670317799403204
23,prime-sweep-24,run_072a5733c13b3a3be71316485b1db3fa,0.6232714653015136,0.6362245391827863,0.36548560043686484,0.5301215750317553,0.2551958307012001,0.8247943848263718,0.6986259264996493
24,winter-sweep-25,run_ba1328680ac1e610c32f3d7a2ff7bf4c,0.07955749829610187,0.5969414873030776,0.931576783984016,0.45507167483215455,0.11653506001263421,1.4392320322535013,1.0333852371645442
25,sweepy-sweep-26,run_ea65777b8490d807e552f6553d694663,0.20548820495605466,0.2429045373338452,0.8573780501261081,0.1667392487751774,0.053932406822488725,1.1938796955972444,0.8136090425085805
26,jumping-sweep-27,run_8d26ba4228150233ba90e77134aedf98,0.5160605907440184,0.4614972859573663,0.7363450384786103,0.34376701143168226,0.1804958938723946,0.9946763858004821,0.6204449030208029
27,upbeat-sweep-28,run_28d0983c8fac69c8e1a17e49bd7343aa,0.37396311759948725,0.8207568337017617,0.2130664508404208,0.759009254218836,0.20443777637397206,1.054021475429997,1.0048940394510861
28,fast-sweep-29,run_9ce4dc2704079a502fbf63f30b31a22d,0.6641141573588052,0.3940428011916026,0.553534389169985,0.29092723643621926,0.19758370183196539,0.7579507559541707,0.48630985535646337
29,glowing-sweep-30,run_52e4f3356b881561cb0a99153c29c553,0.639438231786092,0.29735480522557145,0.4366530754208208,0.26465251315550714,0.1471730890713841,0.6396018895865916,0.4708563045812165
30,fragrant-sweep-31,run_47306595b1e6fee071ae5e2a7b9bed0e,0.8062116305033364,0.38251016905883617,0.6534224308446323,0.32406096897114933,0.14439355653821823,0.7815553945284384,0.40425108896878836
31,sweet-sweep-32,run_b338167c84eaa6501384ce06e541aaec,0.8742821216583251,0.7938899777791706,0.34626618370467244,0.6917982217383422,0.28757106759317735,0.8751951506551794,0.7596623483178196
32,spring-sweep-33,run_2d095052e0994a9ffe749128a650b206,0.5594555536905924,0.8342823073933241,0.09125631996689623,0.7544365813826893,0.18517056222362735,0.9478576335808516,0.8930521270433636
33,restful-sweep-34,run_cf162d2676b28d71f49473e34366180d,0.5866837501525878,0.807064414667932,0.3859389748219932,0.6767374342224644,0.24619393556538283,0.9854603919477796,0.8303103824324399
34,worldly-sweep-35,run_9a5abadf9e96beb5eb9143e82e7f3a9e,0.6904911994934081,0.4350400824834826,0.5250333353814277,0.3425694066412636,0.1568382817435255,0.7488094378545261,0.48759382951165225
35,super-sweep-36,run_f578a732da841e8ae7c7c6c84b422aed,0.46585837999979646,0.8232074309858599,0.19593775938175384,0.7289965523498472,0.20181617182564732,1.0006844408695097,0.9259983859406908
36,smart-sweep-37,run_744746f53d90a8a72ad30b95e981739c,0.5900871753692626,0.5854735867739351,0.3583952861191382,0.5018508437670125,0.30696462413139614,0.7995342555007291,0.7170146955638645
37,curious-sweep-38,run_625121b3fc3cf22e720966ea9321c2ed,,,,,,,
38,vivid-sweep-39,run_f021d872e2b1b36039f6498999759da7,,,,,,,
39,gallant-sweep-40,run_55d62acd3133c8fa4f05b5acb2b63851,0.8921507994333902,0.8104084369946944,0.4112321867710237,0.6798947559426614,0.19625710675931995,0.9151530998972349,0.7158248257602743
40,denim-sweep-41,run_3a32a2254122011b780a8f5d9b59ad6f,0.18081267674763996,0.5816262670076227,0.5777999529396134,0.47717292687352586,0.192814276689829,1.1589692708038504,0.9674395164628309
41,lunar-sweep-42,run_654aa784c3bedbc5ce5ccee13f599eda,0.7755796114603677,0.5113779961545224,0.6042921970576142,0.4170023589185267,0.3335281111813002,0.8228250270671236,0.5792205789542193
