,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL
0,pious-sweep-1,run_60d5f51817e261163d8d052e5c77946c,0.48142948746681213,1.031397574984046,2.034158954817638,1.4043840808591284,1.0153877426567741,1.1474125652793163,0.6667262284620289,1.7651333696243887,0.45694251421351834,1.0153877426567741,0.6849026744738097
1,fresh-sweep-2,run_a667d71fd2a2a96417724a091d125c28,0.5982131361961365,0.8258838544990428,2.3319814915623307,1.332141503474416,0.6367821933123285,1.1502215540433613,0.5537204850031905,2.068943930321177,0.37522425773847073,0.6367821933123281,0.7748931793005218
2,dazzling-sweep-3,run_9d180089e1a3baab33b711191992f8df,0.6419910788536072,0.7357498404594768,2.4850571584104517,1.2245483259633612,0.6212216688687875,1.2665532520968508,0.506062539885132,2.2639357648339695,0.5167277321541385,0.6212216688687876,0.9606029435037188
3,swift-sweep-4,run_f8835f0e2fcf8d352145819525e06734,0.5622208118438721,0.8887811104020422,1.8110234077299951,1.2910802274162982,0.8536843175119424,1.0119480930526983,0.521455009572431,1.51314643440392,0.22560960202147878,0.8536843175119407,0.7455610064883688
4,worthy-sweep-5,run_b11ad40a83f1a82b9b4158b2387bc848,0.5751116871833801,0.8863560944479898,1.9899020141535115,1.4279848389134557,0.7340380119930888,1.1409162842221872,0.542871729419272,1.6685084376701147,0.3024510423247003,0.7340380119930884,0.7287308118373164
5,azure-sweep-6,run_7cec8bf5eaa771982962551f35d05cfb,0.561837911605835,0.8852074026802809,1.9831518780620583,1.2960328490208468,0.687620693159874,1.0010444690615605,0.5873643905552014,1.7048720740337524,0.23263423878711292,0.6876206931598746,0.6853457825605321
6,copper-sweep-7,run_687a6b092685d6bae6605a9e5ca38bce,0.5440970063209534,0.9177536694320357,2.171829069134459,1.335072646873026,0.6232950503099909,1.010009495173287,0.6508487555839189,1.9381872618399574,0.27005685407454166,0.6232950503099917,0.6609194492799494
7,deft-sweep-9,run_f5fef8fad19bcaf5c7f6c0b11b190b2a,0.5945118069648743,0.8347160178685387,2.0456995100707682,1.3489450410612762,0.7671816241487958,1.1061243867700585,0.5087938736439056,1.758383233532935,0.3505874921036,0.7671816241487945,0.7250830827662603
8,happy-sweep-10,run_fb039f7440d1f98beeee75a29c304343,0.6177409291267395,0.7947925973197193,2.3777082199237896,1.2584838913455467,0.6151641426974286,1.1314685868017091,0.5230887045309512,2.187942297223736,0.3357296272899558,0.6151641426974288,0.9095347365089413
9,crimson-sweep-12,run_41ea6c13d67f7414fef5170c0677de76,0.5521378517150879,0.9117294192724953,2.469869352204683,1.216386607706886,0.5176034149811972,1.0089492008229153,0.7412635609444791,2.307866086009798,0.5014908401768782,0.5176034149811972,0.7890093369204001
10,fluent-sweep-13,run_108e0561fefc3e6a531d31f15797f2a4,0.5818762183189392,0.8629227823867264,2.1701415351115956,1.3045230574857867,0.7741233865230207,1.1163079601202721,0.5866241225271223,1.8716113228089284,0.3339608338597597,0.7741233865230204,0.7593369203987975
11,fallen-sweep-14,run_27f191a08b1586229d0256f29eb9d284,0.7023612260818481,0.6069942565411616,2.5699782253674477,1.287087807959571,0.42511434088830174,1.2345307801867385,0.4536311423101467,2.3251224823081116,0.6539861023373343,0.4251143408883021,0.9155404336129126
12,dainty-sweep-15,run_7c4061aecc99bc279a895866df17db82,0.5508615374565125,0.9179834077855776,2.2778715296679373,1.2480480101073912,0.9602093708710234,1.2371419528406393,0.6018123803446079,2.02528579205226,0.3911433986102342,0.960209370871024,0.8520810254787149
13,blooming-sweep-16,run_d80c0f6eea35ee843896ffc69c57a4fe,0.5674537420272827,0.8714996809189535,2.312221012520415,1.2130764371446623,0.7297794491310092,1.1721791422693464,0.6137332482450545,2.046461622210126,0.37075173720783355,0.7297794491310077,0.9277575565754068
14,ancient-sweep-17,run_fe6eeb29ebea6e8c49456810d9b9d7e4,0.5395022630691528,0.9822335673261009,2.581682090364726,1.3227668982943779,0.585191584510621,1.2249802183889855,0.699400127632419,2.4553892215568878,0.35260897030953936,0.5851915845106209,1.0157065991454348
15,bright-sweep-18,run_5f69e1557fa6c506fe0723be06229c46,0.6040842533111572,0.8454881940012763,2.630566140446381,1.221516108654454,0.5219839414574652,1.2282797911061878,0.6565411614550088,2.5057974959172573,0.40451042324699926,0.5219839414574643,1.064313973730021
16,solar-sweep-19,run_a808b19b0ecf392125e5f27a4b4f98af,0.5372048616409302,0.9405488194001277,2.6530484485574317,1.2747820593809225,0.4589998983636549,1.1415413831302421,0.7552776005105296,2.562357103973872,0.34161718256475115,0.45899989836365435,1.0134198449121696
17,magic-sweep-21,run_71d1292e7fb7c2c24cdab303a5d885ca,0.752265453338623,0.5174218251435865,2.636173108328798,1.3518003790271638,0.3978148185791239,1.3155325209685078,0.3968857689853217,2.444011976047905,0.8312950094756794,0.39781481857912404,1.076238328849501
18,prime-sweep-22,run_636412f8b249400d28d16d39f76370ba,0.5521378517150879,0.9038672622846203,2.3038922155688635,1.2866329753632346,0.5679947149100519,0.9908371577781295,0.6954690491384805,2.10280348394121,0.31743524952621693,0.5679947149100516,0.7384238012343725
19,blooming-sweep-23,run_83fe0a672f06897c062294b5f11f3533,0.5623484253883362,0.9207913209955328,2.3765650517147536,1.1993809222994318,0.6935664193515602,1.1092736192435513,0.6621569878749207,2.243522046815461,0.34737839545167476,0.6935664193515607,0.8918025003956327
20,fanciful-sweep-24,run_50445bcaa8ceaba43882aae082c77d60,0.6116145253181458,0.774932992980217,3.0119488296135013,1.314251421351864,0.45452789917674563,1.3040117107137204,0.6533248245054238,2.88663581927055,0.6836260265319017,0.454527899176746,1.142119006171863
21,fallen-sweep-25,run_1562d91fad12acb6549d3ac9bcb94d84,0.5359285473823547,0.933809827696235,2.570958083832336,1.267757422615288,0.5123183250330318,1.1252175977211585,0.7213273771537974,2.4736254763200876,0.33547694251421284,0.512318325033032,0.9798939705649621
22,fiery-sweep-27,run_e370ace0b84869bf2b5214b7ee896f6b,0.7521378397941589,0.524007657945118,2.6817909635274915,1.3159949463044853,0.3481044821628214,1.2712929260959014,0.39463943841735766,2.506287425149702,0.7299178774478848,0.3481044821628205,1.0626206678271883
23,resilient-sweep-28,run_58d3d14066572ed9927250f1ee968602,0.5215060710906982,0.9730950861518827,2.0802123026673933,1.3540240050536958,0.8869295660128061,1.1139499920873557,0.5821314613911936,1.8172836145890057,0.46257738471256904,0.8869295660128069,0.7284617819275199
24,sandy-sweep-29,run_7078b8d9c8cd3bc8255a17fddb40397a,0.5469049215316772,0.9133375877472878,2.4310016330974418,1.2237397346809857,0.47485516820815127,1.0954264915334706,0.7145883854499047,2.3223462166575946,0.28569804169298896,0.47485516820815143,0.9285171704383616
25,giddy-sweep-30,run_1babcb914ce257ed9ba3b845cfe8fbb4,0.6359923481941223,0.7420038289725591,2.7623571039738715,1.321427668982944,0.5231832503303182,1.2963839215065676,0.567198468410977,2.582389765922702,0.6705622236260268,0.5231832503303191,1.0643218863744253
26,grateful-sweep-31,run_9b78fcb9bd96c3308bc33d2938f7970b,0.5179323554039001,1.003446075303127,1.8770005443658144,1.4784207201516109,0.8361418843378391,1.0843013134989714,0.5663305679642627,1.5614861186717475,0.2511307643714476,0.8361418843378396,0.6702009811679062
27,earthy-sweep-32,run_964915db92a4dd35e5be2ad20a1108f0,0.5514996647834778,0.9333503509891514,2.0719923788786074,1.389930511686671,0.9099197072873261,1.2176531096692516,0.5892533503509902,1.7797768100163316,0.35463044851547587,0.9099197072873259,0.833510049058395
28,crimson-sweep-33,run_1ca88cc51509526fcf8bb068d53f15fa,0.5628589391708374,0.8794639438417359,2.296652150244965,1.1763360707517374,0.5312430125012705,0.9874663712612756,0.6918442884492653,2.105797495917257,0.24890713834491415,0.531243012501271,0.6763253679379648
29,lucky-sweep-34,run_b2ebfefc789ec1a210442c2409717518,0.5410338044166565,0.9313848117421825,1.829804028307023,1.3323183828174354,0.758857607480435,1.0234056021522393,0.5825909380982772,1.5188622754491021,0.22525584333543855,0.7588576074804341,0.7329799018832087
30,graceful-sweep-35,run_fb2bccb49b3e4209c72a85bdd12b8306,0.5871091485023499,0.8495979578813019,2.529041916167666,1.1879343019583075,0.6115153979062914,1.1009257793954739,0.6057689853222714,2.388486663037562,0.3222615287428925,0.6115153979062931,0.918998259218231
31,resilient-sweep-36,run_9e61d46c13372cff74cdc08867b04922,0.5345245599746704,0.9740140395660498,2.2615949918345133,1.3709033480732786,0.8945624555340991,1.2006171862636494,0.6058710912571793,2.0341589548176375,0.3735818066961456,0.8945624555340991,0.8910903623991134
32,good-sweep-37,run_6a4336108a29a03ef8a0d7f4391e850f,0.5309508442878723,1.016668793873644,2.5483124659771375,1.4772078332280483,0.6100823254395772,1.2721158411141005,0.6527121888959799,2.421257485029941,0.3286544535691734,0.6100823254395773,1.028216489950942
33,unique-sweep-38,run_af49a75bc3c8b94cd90b0b3efe42b565,0.558391809463501,0.8959029993618378,1.8969787697332618,1.3478584965255844,0.6567638987702001,1.0028881152081026,0.5524186343331212,1.6176102340773013,0.20804801010739232,0.6567638987701998,0.6862715619560062
34,fresh-sweep-39,run_b8109f6bd201376c6b1358c1f2a6fa4e,0.5462667346000671,0.9617613273771537,2.6062874251497017,1.270663297536324,0.6028763085679438,1.197024845703434,0.750146777281429,2.4635547087642906,0.36514213518635563,0.6028763085679453,1.0232473492641234
35,true-sweep-41,run_541f604de42eae32b8c51cd0876d7a7a,0.5827696323394775,0.8893171665603065,2.7430321175830166,1.2966898294377767,0.5434190466510824,1.2367542332647572,0.6441608168474801,2.620658682634733,0.35844598862918536,0.5434190466510826,1.0564250672574764
36,scarlet-sweep-42,run_57932bb11035b85fcf7fd7ff32b723ab,0.6186343431472778,0.7859093809827696,2.536989657049538,1.2895388502842704,0.4287834129484704,1.0750435195442318,0.6349968091895345,2.3660587915078937,0.5144535691724572,0.4287834129484701,0.8162367463206194
37,pious-sweep-43,run_26fd8d7b5760e206526a69390d4977d9,0.5498404502868652,0.9159412890874282,2.3154872074033763,1.2765255843335441,0.5318325033031813,0.9522788415888591,0.695800893426931,2.1348666303756128,0.34697409981048516,0.5318325033031798,0.6647175185947133
38,prime-sweep-44,run_5e3f5ae71e31cfc0150dc8a7b8cd584b,0.5500957369804382,0.9605615826419912,2.2638268916712034,1.4232849020846494,0.7134464884642747,1.1653426175027695,0.5607147415443521,2.121203048448559,0.3259001895135824,0.7134464884642749,0.8826554834625744
39,gallant-sweep-45,run_28b8979f398b7b4197ce107771e7dc84,0.5955328941345215,0.8297894065092533,2.581301034295047,1.2566898294377766,0.49304807399125933,1.2002136413989557,0.6334907466496499,2.4175557974959188,0.4096399241945673,0.4930480739912603,1.0200110777021687
40,happy-sweep-47,run_9798cca34b65030f66c271e5587cf453,0.5118060111999512,1.0241991065730696,2.34896570495373,1.5016424510423247,0.6462140461429007,1.2656749485678114,0.5923420548819409,2.156151333696244,0.2855211623499682,0.6462140461428993,1.0127710080708974
41,twilight-sweep-48,run_5b2b0e19b09ff812966e6456eb8e612d,0.5517549514770508,0.9262029355456287,2.5130919978225377,1.2524447252053066,0.4017583087712166,1.0089966766893497,0.764671346522016,2.3639357648339696,0.49499684144030315,0.4017583087712186,0.8069868650102862
42,eager-sweep-49,run_7c1fc6c1d67915c0af00f3ccb6cee459,0.6278238892555237,0.7510657306955967,2.5416167664670666,1.2259380922299434,0.567882914930379,1.2201693305902832,0.5795788130185064,2.3182090364725094,0.49752368919772705,0.5678829149303803,0.90265073587593
43,breezy-sweep-50,run_c8ec8b1f54f5af0f4408690928d78b0b,0.61238032579422,0.8106955966815572,2.5758573761567787,1.298736576121289,0.4390181929057831,1.1074695363190379,0.6275686024250153,2.396434403919435,0.501743524952622,0.4390181929057817,0.853236271561956
44,restful-sweep-51,run_9e3dc9f7494cafd971191f64e1114bf6,0.5574983954429626,0.9422080408423741,2.488051170386501,1.2436007580543276,0.5364163024697631,1.1614891596771642,0.746368857689853,2.380484485574306,0.3422994314592556,0.5364163024697638,0.9791185314131983
45,mild-sweep-52,run_ead7e5d40d5729d2bf3fa36b1a501caf,0.549329936504364,0.8706573069559669,2.3775449101796418,1.0226279216677199,0.47031202357963214,0.9221237537585062,0.7620676451818768,2.2263200870985322,0.45800379027163685,0.4703120235796302,0.7411457509099546
46,azure-sweep-53,run_0ca09761afae446ce76a1723535080a6,0.5549457669258118,0.9142310146777283,2.2943113772455095,1.3111939355653826,0.5410407561744079,0.9942870707390409,0.6777026164645816,2.101170386499728,0.29600758054327186,0.5410407561744077,0.7133248931793003
47,flowing-sweep-54,run_cdb737a20ba27fc49fe6102a8c3cd4b5,0.558391809463501,0.935137204850032,2.309009254218836,1.297195198989261,0.8166378697022055,1.170802342142744,0.550402042118698,2.115323897659227,0.34045483259633735,0.816637869702206,0.8521126760563378
48,major-sweep-55,run_041bcf21262c4ee2d23f30f1ea9bad32,0.6560306549072266,0.7391959157626038,2.8965432770822,1.263436512950095,0.47228376867567845,1.2606662446589652,0.6275430759412894,2.764262384322266,0.580126342387871,0.47228376867567806,1.0608403228358916
49,elated-sweep-56,run_58bb1abfc46aa2d8201e5c76877e3012,0.5931078791618347,0.838647096362476,2.5701959716929785,1.2810233733417564,0.5711962597824982,1.1867700585535688,0.63892788768347,2.3993739793140993,0.40675931775110563,0.5711962597824993,0.9914068681753447
50,unique-sweep-57,run_e927e5c089a97d3786bcafedfc747af9,0.6047223806381226,0.8056668793873645,2.3670386499727822,1.2212886923562858,0.5698444963919097,1.0601598354169965,0.6317294192724959,2.164316820903649,0.3621099178774478,0.5698444963919106,0.7779791106187682
51,polished-sweep-58,run_b0dd7ee80b722ec58a16b08402501bff,0.5831525325775146,0.8894703254626675,2.3411268372346226,1.3576373973468099,0.7005386726293323,1.1973809147016934,0.5367453733248225,2.1075939031028845,0.3300694883133297,0.7005386726293329,0.9099303687292288
52,swift-sweep-59,run_4bf462003d5ab21a0afc216c797a35eb,0.609700083732605,0.7941289087428208,2.2528307022319005,1.205799115603285,0.6490293729037505,1.0651764519702485,0.592520740268028,2.002313554708766,0.35642451042324813,0.6490293729037501,0.7563301155246082
53,dazzling-sweep-60,run_c8f30c5b6840cd07ac4368185f1f399e,0.6154435276985168,0.8056924058710913,2.6295862819814926,1.1965508528111182,0.5099705254599045,1.1537743313815478,0.6397192086790036,2.5218018508437674,0.31771320277953397,0.5099705254599053,0.989555309384397
54,olive-sweep-61,run_1e750e94e0e489e9005307f6fcaef6f3,0.5415443778038025,0.930721123165284,2.5904463799673394,1.2059001895135821,0.4867059660534608,1.1025478714986547,0.7354435226547552,2.453919433859553,0.3240050536955153,0.4867059660534617,0.9299889222978318
55,lemon-sweep-62,run_e9aa27cdcbb06272b2d262427e06628a,0.5537970662117004,0.965003190810466,2.578851388132826,1.3945293746051801,0.5621302977944913,1.2385266656116474,0.6347415443522643,2.4578933043004914,0.36021478205938096,0.5621302977944906,0.996399746795379
56,hopeful-sweep-63,run_ec4bbc11aea5a3cb362f0622ee3958a9,0.5702616572380066,0.8771410338225909,2.2001360914534573,1.352305748578648,0.6885150929972559,1.1411378382655484,0.580676451818761,2.00928143712575,0.32226152874289443,0.6885150929972573,0.8630242126918815
57,fluent-sweep-64,run_5ab0e4aa0c9a1a735ab957eda7c172f4,0.6044671535491943,0.8294830887045309,2.758002177463257,1.3066708780795961,0.3308974489277366,1.247721158411141,0.6613656668793881,2.63094719651606,0.4345041061276057,0.33089744892773887,1.0646383921506584
58,scarlet-sweep-65,run_741ea754599277dc9759589a6ba62ebd,0.6279515027999878,0.7752137843012126,2.5269188894937398,1.271042324699937,0.5852017481451367,1.1374742839056815,0.5960178685386092,2.331600435492652,0.47786481364497924,0.5852017481451366,0.8196550087039082
59,valiant-sweep-66,run_49bc408d8693255a0a98dcf6ece991f5,0.5474154353141785,0.9813656668793875,2.4819542732716395,1.4510549589387243,0.6881796930582377,1.2332172812153823,0.5973452456924058,2.2869624387588474,0.3230448515476952,0.6881796930582377,0.9559740465263494
60,copper-sweep-67,run_e09eab456f0c4b066f95da65a14d800d,0.5911933779716492,0.8847223994894702,2.667310832879696,1.3621351863550224,0.4645594064437443,1.217502769425542,0.6763752393107849,2.5842406096897124,0.34934933670246426,0.4645594064437446,1.0201614179458771
61,upbeat-sweep-68,run_da3e1ea814b22a865f2fbd1851985689,0.5359285473823547,0.9924186343331206,2.212493195427328,1.477182564750474,0.7143713792052039,1.1765943978477609,0.6180982769623488,2.0034567229178015,0.3329248262792181,0.7143713792052042,0.8619876562747266
62,ruby-sweep-70,run_8bdd55aac3b6dbf560af7880bae258f7,0.6395660638809204,0.7399617102744097,2.468726183995646,1.263436512950095,0.6236202866144934,1.277646779553727,0.5075175494575624,2.2338867719107247,0.49716993051168684,0.6236202866144933,0.9492562114258586
63,whole-sweep-71,run_23dcb4df86a07dd3f9e8ac05da29d9f6,0.5702616572380066,0.9041480536056158,2.5375340228633663,1.3459633607075174,0.56203882508385,1.2058078809938282,0.5995660497766448,2.3671475231355483,0.31925457991156087,0.5620388250838494,0.9756448805190701
64,scarlet-sweep-72,run_3ad99a921c502d4c84a21c877c7b2633,0.605998694896698,0.8079897894065093,2.5234349482852485,1.244763108022742,0.4814412033743267,1.1037743313815478,0.6589151244416083,2.3444474686989674,0.4746809854706265,0.48144120337432655,0.8819829086880836
65,dashing-sweep-73,run_cc4a6dfc630f0485b23874d1e25348fc,0.5604339241981506,0.9270963624760691,2.220495372890583,1.4377890082122553,0.6455432462648644,1.1346969457192595,0.5290363752393104,2.05544365813827,0.30305748578648256,0.6455432462648633,0.8261354644722265
66,vague-sweep-74,run_d99889149d68e74c484c4f395481a9ae,0.5786854028701782,0.8678493937460116,2.1913718018508446,1.2950979153506001,0.799522309177762,1.1006092736192437,0.5392724952137846,1.9709036472509538,0.3073783954516743,0.7995223091777636,0.8005617977528094
