,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,spearman_corr_OTI,spearman_corr_P14,spearman_corr_OT3,spearman_corr_conc,spearman_corr_SL,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50,composite_score_distance_withSD,composite_score_syntheticEC50_withSD,composite_score_spearman,composite_score_spearman_SD
0,pious-sweep-1,run_60d5f51817e261163d8d052e5c77946c,-0.09285256266593962,0.3190688401247492,0.4221176086424122,0.2944723369524893,0.2658782199869513,0.3568862027206622,0.19332535498932646,0.39850880296062496,-0.10338584819330746,0.26587821998695077,0.23335860584998974,0.33828972821648184,0.2832040177260924,0.1480592535836287,0.4171530582245812,0.2578982949900333,0.7554908414107927,0.6798436092405145,0.5320289532632476,,0.7154555876683549,1.2079834255823878,0.6055593756972159,0.4548324884234952,0.7637199460139332,0.6507215925188223,0.6174801565735001,0.7732061447031817
1,fresh-sweep-2,run_a667d71fd2a2a96417724a091d125c28,0.4910656809806825,0.2585444732883505,0.5043674657813818,0.48875423540177604,0.16769914986115164,0.3575734238360491,0.18686238381643286,0.48634248550981,0.2938095120322511,0.16769914986115142,0.2577382134004928,0.4222543459341643,0.22892955907147935,0.17634709319030736,0.48470703061864545,0.20943803436418226,0.7861368752223563,0.6432818494813283,0.5112588645439058,,0.7019476080925386,0.8673415614609763,0.7484066326736146,0.5981392756357412,0.9065970774183426,0.787131733581915,0.6417578768788366,0.8207672907040422
2,dazzling-sweep-3,run_9d180089e1a3baab33b711191992f8df,0.709955394268036,0.22913308544088895,0.5567933821328472,0.3938663962604803,0.1655754420361367,0.3966246441318731,0.16852158893760744,0.5410215243952219,0.206583731110726,0.16557544203613642,0.31514349926295154,0.48182899646220606,0.2664804444008233,0.2845091466334642,0.3503400218829289,0.23400970244561572,0.8009785021769478,0.6306874854633759,0.4642505393151247,,0.6580352572219388,0.7411312176695588,0.7194800757031526,0.6031423163372094,0.9496146812953943,0.8648104516913248,0.6804621772098947,0.920404931653003
3,swift-sweep-4,run_f8835f0e2fcf8d352145819525e06734,0.3111040592193604,0.27622923302829405,0.3281395412120056,0.3224247520589617,0.2236409417427027,0.31033534317606176,0.17880801490429826,0.29845710087349303,0.04033833749659955,0.2236409417427027,0.21902900918181611,0.41835147850028154,0.2982070646686617,0.12942289478445015,0.39932686675246315,0.271162215518123,0.7805132919110727,0.6798021850995515,0.559920261133546,,0.7601987841114994,0.8283784741717708,0.5365965602074878,0.35025152209207555,0.7540766321154407,0.635115601606411,0.5868315194802527,0.7906117447467879
4,worthy-sweep-5,run_b11ad40a83f1a82b9b4158b2387bc848,0.37555843591690075,0.27694933409870764,0.389599716999102,0.4940073702173968,0.19002881882173975,0.35285376141947034,0.18570919704886674,0.3588396963182671,0.22443548586550593,0.19002881882173944,0.21985495010471745,0.42555209661568805,0.2898559863170865,0.1769992231480595,0.4591037000047648,0.21941797460043921,0.7768685021472116,0.6659070183018952,0.533429920169492,,0.7199702718337246,0.8864301936810568,0.6874097431464048,0.46219597665709583,0.8769104627642903,0.7141882983995762,0.615705631894825,0.8219082855646859
5,azure-sweep-6,run_7cec8bf5eaa771982962551f35d05cfb,0.30918955802917486,0.2777642527477878,0.3925984380527362,0.41123834491628125,0.18202249769678935,0.30837971278621923,0.19851725808063567,0.3726142207951238,0.17145895679271916,0.18202249769678924,0.1991864960253586,0.4061193508407214,0.28352317530521093,0.13498111079185682,0.4546448186638609,0.26184054440270627,0.7791559197350479,0.6848189855314597,0.5559050522254869,,0.7560523782411479,0.8946896538056408,0.6327744384814129,0.45568479583924953,0.8148261828933269,0.6864305146860099,0.58764913197276,0.7803010448803591
6,copper-sweep-7,run_687a6b092685d6bae6605a9e5ca38bce,0.2204850316047669,0.2889732281285316,0.45820022313532355,0.5029357208221008,0.16589346543872474,0.31346211952704517,0.2183520704827751,0.4431140983428121,0.3025548438156954,0.16589346543872474,0.22002715400370063,0.37064780495737787,0.27068245434091825,0.19267630814417522,0.535355563870552,0.2700673986961866,0.7694279782274607,0.6914604247119723,0.5439507078975339,,0.7516982880814695,1.0346667916350307,0.7391869251651646,0.5792815933124563,0.891162306464398,0.7637670524960034,0.5969431158580801,0.7772477273676445
7,deft-sweep-9,run_f5fef8fad19bcaf5c7f6c0b11b190b2a,0.47255903482437145,0.2607278402349426,0.4151677596669297,0.4395716370291592,0.2010907874849595,0.3429703737542124,0.17396206784325852,0.3931263435739746,0.18652091113694225,0.20109078748495926,0.21937102525896354,0.46537741724732734,0.22736922481648078,0.14377166938032748,0.44440165094266754,0.2223912625046569,0.7900701940970652,0.6777792890322027,0.5210783179728485,,0.7275549178138895,0.8023599345011881,0.6584576671441605,0.46861623248827,0.8500057042248462,0.7131229705635256,0.6142171338368481,0.8162143623415353
8,happy-sweep-10,run_fb039f7440d1f98beeee75a29c304343,0.5887046456336976,0.24799153304648872,0.5387303055865464,0.3957806742017659,0.16225750715552656,0.3556201851670258,0.1758481688675448,0.523350295246129,0.16229812282046846,0.1622575071555263,0.2972430634116944,0.48013055330940474,0.3424002618832547,0.16278815353999718,0.543638341029553,0.3279288320015337,0.7953571734216703,0.6721544241000605,0.5258917656405925,,0.7058129204781388,0.7848799607279321,0.7130024436786495,0.5754639786288337,0.9394869638178085,0.8398940773640478,0.6116698668354738,0.8651030554138648
9,crimson-sweep-12,run_41ea6c13d67f7414fef5170c0677de76,0.2606892585754395,0.2883684457348747,0.5636180576342215,0.5659238740632648,0.13977210508542373,0.31426972392366587,0.24307126950487265,0.5546055674984354,0.45543491702322364,0.1397721050854235,0.254945480723926,0.3808866529212751,0.30148196143542744,0.2696968149070437,0.583866318043432,0.3604342147871072,0.7628031251519394,0.6657978817545624,0.5473826148589945,,0.7427261970894798,1.0883545003866526,0.8491710702924906,0.7576885515849653,1.0147876103092817,0.9395713536599821,0.6105865299933378,0.8255412152187399
