,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,pearson_corr_OTI,pearson_corr_P14,pearson_corr_OT3,pearson_corr_conc,pearson_corr_SL,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50,composite_score_distance_withSD,composite_score_syntheticEC50_withSD,composite_score_pearson,composite_score_pearson_SD
0,pious-sweep-1,run_60d5f51817e261163d8d052e5c77946c,-0.09285256266593934,0.30789627500119154,0.3626382775020033,0.4460109249005981,0.269939356980723,0.3422535178329635,0.19104133898266817,0.3073689030418449,-0.03933707405893505,0.2699393569807229,0.22179088119075072,0.33828972821648184,0.2832040177260924,0.1480592535836287,0.4171530582245812,0.2578982949900334,0.7536181827004049,0.7059096328796838,0.5295704248867488,,0.716587233978702,1.6456967132349742,1.2683812772137941,0.9913630133141338,1.595994268077748,1.386076211294967,1.0709339033603842,1.4440588854742868
1,fresh-sweep-2,run_a667d71fd2a2a96417724a091d125c28,0.4910656809806825,0.2504421382180513,0.4412027931274911,0.4926795734086433,0.17081766439678833,0.3438055660142764,0.1790829112638002,0.38908661400934497,0.20379398758871842,0.17081766439678833,0.24569522949811373,0.4222543459341643,0.22892955907147935,0.17634709319030742,0.48470703061864545,0.20943803436418226,0.7829492853313651,0.6547268925482705,0.5055946092696448,,0.7033009554506007,1.5647192558937775,1.5006843349899903,1.2599550033618656,1.7278709249790416,1.5234733573647352,1.2180652242039978,1.489015564229842
2,dazzling-sweep-3,run_9d180089e1a3baab33b711191992f8df,0.709955394268036,0.22192704531258228,0.4844941879221172,0.4073538701646166,0.16788460886946507,0.3809970369989267,0.1618062820001454,0.44123401288335246,0.14241388279885558,0.16788460886946524,0.30110904015447204,0.48182899646220606,0.2664804444008233,0.2845091466334642,0.3503400218829289,0.2340097024456158,0.8017072578793649,0.6630857510268753,0.4490096373432152,,0.6584593240595914,1.6116479858068944,1.6007919822020542,1.411856057875597,1.8936097483676153,1.7368248147094463,1.2157394881016337,1.5815326148265498
3,swift-sweep-4,run_f8835f0e2fcf8d352145819525e06734,0.3111040592193604,0.2674001771061458,0.28532255211097574,0.43008435212366675,0.2272673374665447,0.2978326672232526,0.17155213718953125,0.21211222461573673,0.01460369365686875,0.22726733746654462,0.21409690050287614,0.41835147850028154,0.2982070646686618,0.12942289478445015,0.39932686675246315,0.27116221551812303,0.7774412944798382,0.7276206348461779,0.5597777333419263,,0.7639208561227798,1.2139356468103577,1.0346811064715722,0.6925022468967786,1.4668359729465288,1.2492406258995261,0.992589143140491,1.4374546902497927
4,worthy-sweep-5,run_b11ad40a83f1a82b9b4158b2387bc848,0.37555843591690075,0.2675532008298401,0.34225698021708145,0.5268366095648619,0.19336484060033202,0.3382116444928794,0.1781672775072686,0.2692443778422986,0.15296718813867918,0.19336484060033218,0.20951715009342708,0.42555209661568805,0.2898559863170866,0.1769992231480595,0.4591037000047648,0.2194179746004393,0.7739968798279335,0.6847425774040082,0.5289589314618408,,0.7223682608200257,1.3560540126431184,1.2331017531109296,0.8832145206110861,1.6040973079875123,1.3537563035442552,1.1255352165062442,1.5229634807057237
5,azure-sweep-6,run_7cec8bf5eaa771982962551f35d05cfb,0.30918955802917486,0.2685541264979392,0.33707450074407075,0.4627104158150941,0.1846419012772301,0.29591657760513745,0.19115924250748184,0.2819404118926457,0.11306900523949319,0.18464190127722993,0.19462575059185977,0.4061193508407214,0.28352317530521093,0.13498111079185682,0.4546448186638609,0.26184054440270627,0.774680455173953,0.7213770601312333,0.55726855480732,,0.7598327710473216,1.351855090665545,1.1926501743099247,0.9188201208744995,1.552231031461129,1.3532321128591414,1.011477857421585,1.4177779067271241
6,copper-sweep-7,run_687a6b092685d6bae6605a9e5ca38bce,0.2204850316047669,0.2795693260182976,0.3937175444621358,0.5089108542974992,0.16832842090998412,0.30107474074715024,0.20987078275397553,0.34815751407490675,0.20938278027572382,0.16832842090998415,0.21032630429342852,0.37064780495737787,0.27068245434091825,0.19267630814417522,0.535355563870552,0.2700673986961866,0.7648117618224256,0.6995610406772682,0.5447042063241302,,0.751876124328962,1.5545960542041044,1.3737846679320143,1.1401857042595944,1.6716692794225474,1.4856706586986135,1.0794644273459282,1.4395962336104167
7,deft-sweep-9,run_f5fef8fad19bcaf5c7f6c0b11b190b2a,0.47255903482437145,0.25197237545499473,0.3598909389861904,0.47648173609304734,0.204206897719958,0.328438652002111,0.1673226618100449,0.30297732405065925,0.12605254356954412,0.2042068977199579,0.20988586872213663,0.46537741724732734,0.22736922481648078,0.14377166938032757,0.44440165094266754,0.222391262504657,0.7863836548926367,0.6872637783142481,0.5125042159967257,,0.7281209436693084,1.341806132129102,1.2592616100184646,0.9807337588685995,1.5296907791455658,1.309981978166572,1.123086606571725,1.4196963066788142
8,happy-sweep-10,run_fb039f7440d1f98beeee75a29c304343,0.5887046456336976,0.24010174823332855,0.4607671734673701,0.4325814722604139,0.1646966155097063,0.3414841197641759,0.16936966768766096,0.4226062252193189,0.10895172977592796,0.16469661550970596,0.28290073205848676,0.48013055330940474,0.3424002618832547,0.16278815353999723,0.543638341029553,0.32792883200153383,0.7934484938714843,0.6908070608951489,0.5195825390651022,,0.7065151606915117,1.5745966086961398,1.538778561424217,1.3514868773669289,1.948651889289145,1.8044172201091362,1.108813418649889,1.630604771828362
9,crimson-sweep-12,run_41ea6c13d67f7414fef5170c0677de76,0.2606892585754395,0.27891709375337087,0.4849364677968219,0.48887072200958714,0.14148710912355594,0.3019119580985968,0.23457031690962324,0.45469493095230645,0.32669911931923745,0.14148710912355608,0.24513396646921118,0.3808866529212751,0.30148196143542744,0.2696968149070438,0.583866318043432,0.3604342147871072,0.759117800527602,0.6829153704033486,0.547654577748368,,0.7425621209442349,1.7712167380691979,1.6335308708495786,1.4930607323469038,1.9481139214821819,1.8319266075720322,1.1260849161227247,1.5475115454733206
