,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50,composite_score_distance_withSD,composite_score_syntheticEC50_withSD
0,pious-sweep-1,run_60d5f51817e261163d8d052e5c77946c,-0.09285256266593962,0.31387156162851215,0.3324535829369341,0.5024131396083383,0.2538469356641935,0.3500416400130351,0.20289596134575166,0.256621144698481,0.028692356285533453,0.2538469356641935,0.2089435506258073,0.33828972821648184,0.2832040177260924,0.1480592535836287,0.4171530582245812,0.2578982949900333,1.2479066757511252,0.6793082546663433,0.3283967636046243,0.8234231617476866,0.46489507802121666
1,fresh-sweep-2,run_a667d71fd2a2a96417724a091d125c28,0.4910656809806825,0.2513302934025215,0.41640325303053555,0.4662918509159822,0.15919554832808214,0.35089857941172914,0.16850642036494676,0.3422587079944761,-0.012166771951990337,0.159195548328082,0.23639699226340613,0.4222543459341643,0.22892955907147935,0.17634709319030736,0.48470703061864545,0.20943803436418226,0.8061227576744879,0.673785333579518,0.38168503670171294,0.8460451812406262,0.5259147780000091
2,dazzling-sweep-3,run_9d180089e1a3baab33b711191992f8df,0.709955394268036,0.22390100286644243,0.45955194107718267,0.4124952621604548,0.15530541721719687,0.3863879400866595,0.15400330922621605,0.39722264845787936,0.058584965255843544,0.15530541721719687,0.2930515491291805,0.48182899646220606,0.2664804444008233,0.2845091466334642,0.3503400218829289,0.23400970244561572,0.6822508344933256,0.6568652730486119,0.43004075371358225,0.903099358063755,0.6139977863588071
3,swift-sweep-4,run_f8835f0e2fcf8d352145819525e06734,0.3111040592193604,0.27047098212551757,0.26955654442228016,0.44576121288692333,0.2134210793779856,0.30871543577178867,0.15868749563042278,0.18559152984502073,-0.08697409981048632,0.21342107937798516,0.22744861381000095,0.41835147850028154,0.2982070646686617,0.12942289478445015,0.39932686675246315,0.271162215518123,0.8636789952171723,0.5869568482667561,0.2592111711665126,0.7907047744912772,0.4555636954318726
4,worthy-sweep-5,run_b11ad40a83f1a82b9b4158b2387bc848,0.37555843591690075,0.26973300914309684,0.31997851772287855,0.514213518635502,0.1835095029982722,0.34805981678394265,0.16520496228569617,0.22938468620530914,-0.0485533796588755,0.18350950299827207,0.2223142191592339,0.42555209661568805,0.2898559863170865,0.1769992231480595,0.4591037000047648,0.21941797460043921,0.869901753939019,0.6629914711163517,0.286823019483488,0.8579029639218527,0.4800909777032506
5,azure-sweep-6,run_7cec8bf5eaa771982962551f35d05cfb,0.30918955802917486,0.2693834429935291,0.3180758017492712,0.4482375236891976,0.1719051732899685,0.30538906255657605,0.17874482447895215,0.23963480128893694,-0.08346178142766922,0.17190517328996863,0.20907872979855902,0.4061193508407214,0.28352317530521093,0.13498111079185682,0.4546448186638609,0.26184054440270627,0.8827843224918488,0.6120919315433864,0.310387530719067,0.7988709226111284,0.47760813266987057
6,copper-sweep-7,run_687a6b092685d6bae6605a9e5ca38bce,0.2204850316047669,0.27928781723128066,0.371259782108332,0.46775742261528724,0.15582376257749772,0.3081240268909997,0.1980641803450606,0.30540125824765996,-0.06475047378395486,0.1558237625774979,0.20162697790061918,0.37064780495737787,0.27068245434091825,0.19267630814417522,0.535355563870552,0.2700673986961866,0.9819747543470982,0.6592666509665386,0.36971877411116305,0.8260783638399269,0.5104688482112975
7,deft-sweep-9,run_f5fef8fad19bcaf5c7f6c0b11b190b2a,0.47255903482437145,0.2540180686858643,0.3357066134724565,0.4746936197094123,0.19179540603719894,0.33744583780913173,0.15483449984852113,0.2547184287248735,-0.024485154769425664,0.1917954060371986,0.22120140489783105,0.46537741724732734,0.22736922481648078,0.14377166938032748,0.44440165094266754,0.2223912625046569,0.7850012322712417,0.6344746977940617,0.2990898244332175,0.831565595689668,0.4836593036181731
8,happy-sweep-10,run_fb039f7440d1f98beeee75a29c304343,0.5887046456336976,0.2418687029542224,0.4292926193033605,0.42946304485154757,0.15379103567435715,0.34517760370777156,0.1591846563764749,0.3758017492711373,-0.03191408717624777,0.15379103567435717,0.2774721494695424,0.48013055330940474,0.3424002618832547,0.16278815353999718,0.543638341029553,0.3279288320015337,0.7334129317136456,0.6536291986671496,0.4093717363732336,0.8952621961426376,0.5955811059689313
9,crimson-sweep-12,run_41ea6c13d67f7414fef5170c0677de76,0.2606892585754395,0.2774545369802145,0.45527083013656605,0.40841440303221715,0.1294008537452993,0.3078005624419153,0.22557892038436697,0.4096056467699859,0.05096651926721339,0.12940085374529928,0.24070341448106927,0.3808866529212751,0.30148196143542744,0.2696968149070437,0.583866318043432,0.3604342147871072,0.9595072828088037,0.6716061892718869,0.47038305802170455,0.8716405571586456,0.6128714506171865
10,fluent-sweep-13,run_108e0561fefc3e6a531d31f15797f2a4,0.40938109159469616,0.26260185969191574,0.37078410311493026,0.45248262792166766,0.19353084663075518,0.34055254486862263,0.1785195485158974,0.28663495473377326,-0.03279848389134581,0.19353084663075507,0.23165123773430057,0.42277658302190435,0.2359616773388177,0.1301852738669136,0.40669881759447035,0.2220217591452832,0.8312954196069615,0.64123405742934,0.33927063978942085,0.8139700696360542,0.4907011778579071
11,fallen-sweep-14,run_27f191a08b1586229d0256f29eb9d284,1.011806130409241,0.18471852156823146,0.48348933558385776,0.44376500315855966,0.10627858522207542,0.3766188309415471,0.13804755653261427,0.41446984808961185,0.12721415034744146,0.1062785852220755,0.2793043100430881,0.5728879351581367,0.24107491903835424,0.4315844587044664,0.4084313143006037,0.20167765470843638,0.6563754263886459,0.6817699376343825,0.4550009042723681,1.0185249607625333,0.7023654652713482
12,dainty-sweep-15,run_7c4061aecc99bc279a895866df17db82,0.2543076872825623,0.2793577304611943,0.40115083627435927,0.4242451042324698,0.24005234271775586,0.3774154224952626,0.18314158982684814,0.3299524321006599,-0.004207201516108565,0.24005234271775597,0.2599447213739997,0.3528557206201158,0.31058715958941185,0.17243431344379534,0.321966867850974,0.2262645009345933,0.9470812674500103,0.64726087744994,0.3773952171372118,0.8183225398375993,0.517474364372323
13,blooming-sweep-16,run_d80c0f6eea35ee843896ffc69c57a4fe,0.33726871013641363,0.2652119536086879,0.41083320546263635,0.40675931775110535,0.1824448622827523,0.3575971902043378,0.18676930964569516,0.33592143624367043,-0.014403032217308927,0.1824448622827519,0.28303139294895757,0.3521147134131993,0.21327997554357978,0.2221664591514223,0.4058562894451832,0.28326469065682547,0.8794599637574768,0.6360616680990816,0.38462115606216035,0.7895603210438049,0.5072957334351411
