,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50
0,amber-sweep-1,run_e60fd6f022d84c6cf9962606129d16c1,0.32528023492722297,,,,,,,,,
1,laced-sweep-2,run_0b16d1a43bb6b76f0e0c28b29c27bf2b,0.8242622216542564,0.2113592852584558,,0.4826279216677205,0.3276716901477577,0.7377789874795869,0.7150277251351171,,,1.078402159958238
2,stellar-sweep-3,run_11f6039c62cc56d6428c14315941a4ed,,,,0.37504737839545177,0.03007216140592252,0.5784249682453272,,,,
3,chocolate-sweep-4,run_c050d64aafd79b1eff334698dbb6f9fb,0.4899868851616271,0.37830248883216344,,,0.49708899906730036,0.4847940482671029,0.2274022601249416,,,0.7306398087559068
4,zany-sweep-5,run_4f146e84fcfac2961475c91343748dbe,0.3392592271169028,0.4297383535417998,,0.15969677826911002,0.471287614746454,0.4882416984213404,0.38563908191198026,,,0.7805187207163401
5,crimson-sweep-6,run_cca096b6565b7a04bae03d8879a10ca9,0.47479252588181287,0.4480323335460542,,0.46753000631712016,0.3766432673899161,0.1408274360370171,0.08219274233172025,,,0.4104243712341173
6,olive-sweep-7,run_d8be429c4131de1a2ee3f80e5d3a7f3d,0.8813929898398265,0.15298872580302067,,0.33733417561591933,0.2243876098375151,0.6181273816004372,0.5423597950445722,,,0.8523997927109062
7,legendary-sweep-8,run_ebae88ebca00f61c789f5616705f04c0,0.49849587395077677,0.4349712827058076,,0.5215413771320283,0.5587452751460402,0.771711123208131,0.4292131676844241,,,1.0449680777396393
8,crisp-sweep-9,run_42f8958827aa9b85d096c49cee0f19e6,0.3763333161671958,0.39408636460327606,,0.19962097283638686,0.40130577782141325,0.3558519324986393,0.1908471959008909,,,0.56929744190458
9,frosty-sweep-10,run_875d89658f52b4b7ce59da9d103de04c,0.3429058960505896,0.6038289725590301,,0.7149084017687941,0.3702812822149133,0.5491743785156965,0.1620972836386598,,,0.6818916741974885
10,wild-sweep-11,run_c7ad5f68881890dab0c4d9b8b42ba23f,0.494241237640381,0.42880238247181457,,0.0951989892608979,0.5113445584409211,0.699020141535111,0.16552256615428018,,,0.8817596813334149
11,deft-sweep-12,run_4b20bdce25688642e1d7fbc135b4794e,0.5738597029731389,0.3375877472878112,,0.184712571067594,0.41198762947327056,0.5551261114135378,0.3039376710886534,,,0.755166812246748
12,lyric-sweep-13,run_45acb30a6c93c60fe9f9334f6ddd51f5,0.05299784455980583,0.8148053605615826,,,0.729497815522067,0.7499364906550552,0.411244472520532,,,1.124141369688963
13,fluent-sweep-14,run_7db5900b56456b32274bbacef32ae1e8,0.5215912546430317,0.38813018506700714,,0.3326595072646871,0.331873742084336,0.14931954273271675,0.07708289464448731,,,0.37199231063792315
14,frosty-sweep-15,run_66ab9d9966a5ebe2779e6efd5a4e5394,0.2900294803437734,0.6519889385237184,,0.9633607075173719,0.4167787541112352,0.424405733986573,0.14631852319786662,,,0.6125633576618829
15,crisp-sweep-16,run_88f853839785a2b7f3e8ee12db7aab01,0.5185522692544121,0.4360774303339715,,0.34908401768793457,0.376054194688527,0.5822355289421154,0.20881589106478443,,,0.7238915974553934
16,fine-sweep-17,run_44d2242235c0a8213636800da03c224f,,,,,,,,,,
17,silvery-sweep-18,run_8e44eff42072ed93b79bb89f3857cd67,0.5258456071217856,0.3950648798128059,,0.5489576753000637,0.30999950910608304,0.24393032117583088,0.16456797922369823,,,0.42741585958025474
18,scarlet-sweep-19,run_fe1dfe97e722605c49b68b166a379d97,,,,0.440682248894504,0.029051102056845902,0.45347486844492924,,,,
19,fanciful-sweep-20,run_4a77155bc8d0ad4375e322ef58ca562c,0.022001442455110185,0.7735800893426931,0.8367809834875735,,0.450159540523293,0.08033024859372191,0.3793500386046203,,,0.5941405663246689
20,swept-sweep-21,run_9bc9096eb268fbb326ad9768d30c23a8,0.7434283892313641,0.27436715592427147,,0.5349336702463676,0.3233910951843309,0.6510070767555804,0.36991647364357405,,,0.8156164612753131
21,jolly-sweep-22,run_4d0ea673376750259549676f765bf1b7,,,,,,,,,,
22,glorious-sweep-23,run_056ad3d4e3a2364368636488879fe88d,0.5702130340394521,0.40055307381408223,,0.498989260897031,0.45502920818810927,0.4109780439121768,0.24610093352986623,,,0.6606967552262145
23,prime-sweep-24,run_072a5733c13b3a3be71316485b1db3fa,0.5404319990248909,0.37660072325037247,,0.42451042324699995,0.3919198861126115,0.5301215750317553,0.3425703656910225,,,0.7429566184471017
24,winter-sweep-25,run_ba1328680ac1e610c32f3d7a2ff7bf4c,0.152064879735311,0.6851308232291003,,0.9182564750473784,0.3390604290412853,0.45507167483215455,0.09606232891134973,,,0.5755694352656985
25,sweepy-sweep-26,run_ea65777b8490d807e552f6553d694663,0.24201538449242013,0.6164645820038288,,0.9809222994314595,0.3461293014579536,0.1667392487751774,,,,
26,jumping-sweep-27,run_8d26ba4228150233ba90e77134aedf98,0.4638528029123944,0.45037226122101703,,0.6780164245104238,0.33898188601443285,0.34376701143168226,0.20977047799536824,,,0.5263916133763699
27,upbeat-sweep-28,run_28d0983c8fac69c8e1a17e49bd7343aa,0.36235460780915774,0.5290789193788558,,0.30366392924826296,0.48656423346914596,0.759009254218836,0.2523338246648393,,,0.9362222814862061
28,fast-sweep-29,run_9ce4dc2704079a502fbf63f30b31a22d,0.569605350494385,0.35992342054881943,,0.5581806696146558,0.26397329537087005,0.29092723643621926,0.24014880325682741,,,0.46042589553049557
29,glowing-sweep-30,run_52e4f3356b881561cb0a99153c29c553,0.5519796893710184,0.35945543501382704,,0.4358812381554018,0.3177359972509934,0.26465251315550714,0.15052993612690513,,,0.44006406163078043
30,fragrant-sweep-31,run_47306595b1e6fee071ae5e2a7b9bed0e,0.6711035455976215,0.3362688789619232,,0.5104232469993681,0.23389131608659425,0.32406096897114933,0.14558854495683246,,,0.4253430189551569
31,sweet-sweep-32,run_b338167c84eaa6501384ce06e541aaec,0.719725324994042,0.2974260795575412,,0.3767530006317128,0.38394776888714255,0.6917982217383422,0.400126342387871,,,0.8866237977329747
32,spring-sweep-33,run_2d095052e0994a9ffe749128a650b206,0.49484920501709,0.42978089768134464,,0.18288060644346296,0.514054292867312,0.7544365813826893,0.2180809995086709,,,0.9386083814298763
33,restful-sweep-34,run_cf162d2676b28d71f49473e34366180d,0.5142979167756582,0.46445437141033813,,0.39387239418825115,0.4946934367483201,0.6767374342224644,0.32656699656068067,,,0.8996339002519481
34,worldly-sweep-35,run_9a5abadf9e96beb5eb9143e82e7f3a9e,0.5884460948762441,0.3600510529674539,,0.6103600758054329,0.31679348092877063,0.3425694066412636,0.1677125008773787,,,0.4958219346459569
35,super-sweep-36,run_f578a732da841e8ae7c7c6c84b422aed,0.4279940809522358,0.5194213997021915,,0.2727732154137719,0.5240685287909282,0.7289965523498472,0.24767319435670643,,,0.9313569709890545
