,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,spearman_corr_OTI,spearman_corr_P14,spearman_corr_OT3,spearman_corr_conc,spearman_corr_SL
0,pious-sweep-1,run_60d5f51817e261163d8d052e5c77946c,0.48142948746681213,1.5891257179323546,4.115215024496463,1.8294630448515472,1.6484449639190975,1.7710555467637283,0.9628589661774088,3.99714207947741,0.8132533164876808,1.6484449639190957,1.1580471593606585,0.5037172961623614,0.4624030132945693,0.3610444401877215,0.5628647936684359,0.44342372124252505,0.5109816828215854,0.3596872184810289,0.06405790652649533,,0.4309111753367099
1,fresh-sweep-2,run_a667d71fd2a2a96417724a091d125c28,0.5982131361961365,1.2876834716017866,4.526565051714752,2.3256980416929878,1.0397347291391401,1.774465896502611,0.9306700701978292,4.43641807294502,1.8277700568540745,1.0397347291391401,1.2790314923247346,0.5666907594506232,0.4216971693036095,0.38226031989273057,0.6135302729639841,0.4070785257731367,0.5722737504447127,0.28656369896265665,0.02251772908781163,,0.40389521618507745
2,dazzling-sweep-3,run_9d180089e1a3baab33b711191992f8df,0.6419910788536072,1.1411997447351627,4.788758845944475,2.0833354390397973,1.0265677406240472,1.968258426966292,0.8393235481812384,4.70988023952096,1.604977890082121,1.026567740624047,1.5639064725431246,0.6113717473466546,0.4498603333006175,0.4633818599750982,0.5127550164121967,0.42550727683421186,0.6019570043538954,0.26137497092675205,-0.07149892136975067,,0.3160705144438776
3,swift-sweep-4,run_f8835f0e2fcf8d352145819525e06734,0.5622208118438721,1.37576260370134,3.645209580838323,1.9008591282375231,1.3865738388047564,1.5400458933375534,0.8905552010210597,3.4967610234077298,1.180353758686039,1.3865738388047575,1.086936224086089,0.5637636088752112,0.47365529850149635,0.3470671710883376,0.5494951500643473,0.45337166163859227,0.5610265838221453,0.359604370199103,0.11984052226709202,,0.5203975682229989
4,worthy-sweep-5,run_b11ad40a83f1a82b9b4158b2387bc848,0.5751116871833801,1.3793490746649648,3.952585737615678,2.339115603284902,1.1781786766947862,1.75104446906156,0.9249266113592849,3.7987479586281983,1.6505748578648132,1.1781786766947855,1.091034973888273,0.569164072461766,0.46739198973781493,0.3827494173610446,0.5943277750035736,0.41456348095032947,0.5537370042944232,0.3318140366037905,0.06685984033898397,,0.43994054366744934
5,azure-sweep-6,run_7cec8bf5eaa771982962551f35d05cfb,0.561837911605835,1.3834077855775366,3.967583015786609,2.1277068856601384,1.1285394857200937,1.530341034973888,0.9887172941927239,3.867637452367992,1.5152621604548329,1.1285394857200945,0.9884673207786041,0.5545895131305411,0.4626423814789082,0.3512358330938926,0.5909836139978957,0.4463804083020297,0.558311839470096,0.36963797106291946,0.11181010445097389,,0.5121047564822959
6,copper-sweep-7,run_687a6b092685d6bae6605a9e5ca38bce,0.5440970063209534,1.4392342054881937,4.295672291780077,2.361920404295641,1.0285394857200933,1.5555625890172493,1.0875047862156986,4.2202231899836695,1.8501073910296908,1.0285394857200945,1.0918895394840946,0.5279858537180334,0.4530118407556887,0.3945072311081314,0.651516672902914,0.45255054902214,0.5388559564549213,0.3829208494239447,0.08790141579506776,,0.5033965761629391
7,deft-sweep-9,run_f5fef8fad19bcaf5c7f6c0b11b190b2a,0.5945118069648743,1.298557753669432,4.080457267283615,2.200075805432722,1.2467628824067487,1.7019979427124543,0.8664199106573058,3.9702231899836677,1.5537334175615904,1.2467628824067483,1.0886334863111249,0.5990330629354955,0.4205269186123606,0.35782875203524567,0.5833012382070006,0.41679344687849273,0.5801403881941305,0.35555857806440555,0.042156635945697185,,0.4551098356277789
8,happy-sweep-10,run_fb039f7440d1f98beeee75a29c304343,0.6177409291267395,1.2351244416081681,4.698421339139902,2.08822488945041,1.0059965443642644,1.7647729071055545,0.8758136566687936,4.621502449646162,1.4918635502210986,1.0059965443642642,1.475075170121856,0.6100979149820536,0.506800196412441,0.37209111515499793,0.6577287557721647,0.49594662400115036,0.5907143468433407,0.34430884820012103,0.05178353128118506,,0.41162584095627763
9,crimson-sweep-12,run_41ea6c13d67f7414fef5170c0677de76,0.5521378517150879,1.4362220804084236,4.822890582471421,2.522804801010738,0.8665870515296269,1.559570343408767,1.2106190172303761,4.777817093086554,2.240593809222994,0.866587051529627,1.265172495648045,0.5356649896909563,0.4761114710765706,0.45227261118028284,0.687899738532574,0.5203256610903304,0.5256062503038786,0.33159576350912506,0.094765229717989,,0.48545239417895963
10,fluent-sweep-13,run_108e0561fefc3e6a531d31f15797f2a4,0.5818762183189392,1.3488321633694957,4.238405008165489,2.151914087176247,1.2672832604939523,1.718875613229941,0.9844671346522011,4.129640718562873,1.5700694883133284,1.2672832604939528,1.2000118689666095,0.5670824372664283,0.42697125800411334,0.3476389554001852,0.5550241131958528,0.41651631935896244,0.5505141107261442,0.3149325839632006,0.05238752253863921,,0.4257528998857376
